Gene	1891_uns	1892_uns	1909_granule	1910_granule	1895_purkinje	1896_purkinje	1893_basket	1894_basket	1903_astrocyte	1904_astrocyte	1907_oligo	1908_oligo	1899_opc	1900_opc
Cbx8	14	7	11	52	24	29	2	12	2	3	11	1	0	2
Cbx4	24	14	51	32	70	78	28	19	50	101	97	39	333	107
Tbc1d16	1742	1340	1813	1959	644	1199	274	239	1011	810	1016	479	937	796
Ccdc40	10	11	75	101	8	24	4	7	12	25	53	12	125	40
AABR07030901.1	2	4	2	8	0	13	4	2	3	3	1	0	65	15
Gaa	246	142	146	96	314	529	256	264	567	793	283	154	199	266
Eif4a3	118	66	227	307	136	359	172	151	375	333	440	126	123	215
Card14	33	15	82	100	3	16	7	12	68	36	104	36	91	34
Sgsh	9	8	25	30	1	9	1	4	21	18	34	38	1	42
Slc26a11	57	43	149	158	95	169	62	90	168	403	128	67	116	75
Rnf213	94	79	274	260	32	88	45	31	638	427	856	198	603	722
Endov	100	91	99	92	64	67	91	61	176	142	194	58	134	94
LOC102555664	1	1	1	1	0	2	0	0	0	0	0	0	0	0
Nptx1	4400	1581	857	782	1543	3031	172	109	136	138	155	30	19	65
Polr2h-ps1	0	0	1	1	1	0	0	0	0	0	0	0	0	0
AABR07030911.1	0	0	5	13	7	0	0	0	0	2	0	0	2	1
Rptor	3068	2801	3323	4469	3222	4580	3055	2733	5035	5357	4416	1997	3359	4097
Chmp6	15	8	19	11	2	15	9	7	43	44	15	6	29	6
AABR07030914.1	4	3	0	17	0	0	1	0	6	2	0	0	0	1
Baiap2	433	335	359	545	6139	10933	1707	1881	1400	1159	319	122	161	756
Aatk	1311	979	1249	1726	1269	2228	1209	1192	2233	2549	7986	3818	1931	2373
Mir3065	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cep131	141	159	628	1237	349	656	334	478	657	823	463	445	335	778
Mir3594	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir3562	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enthd2	55	23	35	58	55	162	42	47	107	97	112	49	44	104
LOC690871	11	6	5	10	15	27	8	6	20	32	10	6	18	38
Slc38a10	296	160	532	467	540	828	178	182	743	734	949	411	975	633
AABR07030919.1	15	5	3	1	0	2	1	0	8	15	20	15	11	8
Bahcc1	177	117	198	207	317	396	174	149	575	528	506	291	424	494
Actg1	50	23	52	40	19	47	24	40	83	155	119	40	18	107
AABR07030921.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fscn2	72	73	7	14	20	55	22	41	43	75	16	22	7	29
Faap100	91	52	84	93	573	607	111	180	320	353	269	132	234	238
Nploc4	723	486	758	1100	1403	1667	892	940	1632	1492	1407	734	746	1169
Tspan10	1	0	0	1	0	2	0	0	2	4	0	3	0	0
Pde6g	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxld1	9	9	8	1	24	13	5	4	7	0	8	9	0	0
Ccdc137	78	72	80	49	113	184	57	72	80	92	90	112	37	125
Arl16	16	8	4	18	3	9	4	4	26	8	6	6	0	6
Hgs	228	217	408	297	432	629	259	230	374	396	369	151	264	267
Mrpl12	26	7	23	31	33	69	40	19	32	57	14	24	99	21
Slc25a10	85	42	100	125	77	226	56	69	194	282	496	252	97	55
Gcgr	4	2	0	1	3	0	4	3	6	6	26	0	0	3
Mcrip1	55	17	41	51	106	86	47	56	87	128	102	32	63	15
Ppp1r27	0	0	0	0	0	0	1	0	2	0	0	0	0	0
P4hb	313	76	143	224	78	244	116	105	385	361	512	261	169	565
Arhgdia	255	120	86	108	105	36	87	76	169	111	330	100	76	61
Alyref	20	5	17	55	20	11	27	30	33	40	53	42	33	3
AC131537.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anapc11	96	47	130	69	30	38	50	51	161	148	162	99	78	73
Npb	1	1	0	2	0	1	0	0	1	2	5	0	0	0
Pcyt2	71	40	174	127	55	81	143	169	282	450	436	266	25	154
Sirt7	88	47	96	123	129	189	91	131	225	232	329	128	80	201
AC131537.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mafg	56	48	325	118	113	393	91	152	281	605	452	269	449	288
Pycr1	3	2	1	4	6	17	4	13	35	7	1	0	1	88
Myadml2	6	2	4	1	12	3	1	1	9	2	0	0	0	2
Notum	0	0	0	0	1	0	2	1	11	15	0	0	0	0
AC131537.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspscr1	93	60	102	253	192	488	189	190	314	445	424	223	1434	377
AC131537.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stra13	12	6	37	6	0	20	5	7	42	10	20	2	1	13
Lrrc45	35	35	95	113	129	149	89	66	144	215	111	52	120	104
Rac3	3	3	5	3	0	1	3	4	15	11	1	1	18	5
Dcxr	9	9	4	4	6	0	6	5	48	67	22	14	0	4
LOC688320	1	0	1	0	0	0	0	2	1	0	0	1	0	0
Rfng	120	54	133	148	139	144	101	101	124	142	75	23	154	99
LOC688321	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gps1	192	104	60	180	121	202	111	116	221	291	206	74	265	184
Dus1l	116	56	85	140	40	62	60	73	110	132	86	72	77	99
Fasn	263	121	147	170	71	140	119	139	629	782	768	365	602	772
Ccdc57	716	665	852	976	1076	2074	867	810	1293	1286	622	280	499	1034
AABR07030939.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Slc16a3	24	6	10	7	6	4	8	12	23	24	45	13	7	82
Csnk1d	623	439	551	821	759	1005	625	759	1270	995	1680	723	1142	1988
Cd7	0	0	0	0	0	0	0	0	0	0	6	0	0	0
Sectm1b	0	0	4	0	2	4	1	0	2	3	3	1	0	0
Sectm1a	2	1	6	0	3	0	0	1	2	7	24	2	2	1
Tex19.2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Tex19.1	0	0	0	0	0	6	0	0	0	0	0	0	0	0
AC128909.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uts2r	3	0	0	0	0	0	3	0	0	1	0	0	0	0
Ogfod3	150	97	139	117	99	176	135	113	199	221	93	48	121	163
Hexdc	168	107	128	108	86	178	164	153	344	325	185	68	92	231
AC110474.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC619574	79	49	59	88	171	144	54	49	142	80	170	32	24	271
AC110474.1	0	1	0	0	0	1	0	0	2	0	0	0	1	0
Narf	431	350	325	520	431	389	242	263	345	338	200	125	215	195
Foxk2	804	651	666	829	1928	2780	1088	1056	1692	1473	1786	812	944	1220
Wdr45b	426	346	598	652	584	722	532	537	880	608	752	391	796	748
Rab40b	81	65	90	146	45	63	72	74	100	88	93	44	275	219
AC110474.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fn3krp	150	105	45	76	21	68	83	64	93	64	141	31	78	31
Fn3k	868	732	454	793	309	246	280	222	512	516	289	92	111	223
Tbcd	1919	1688	2228	3190	2052	3489	1851	1958	3465	3205	3504	1513	1844	2765
Znf750	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3gntl1	329	311	76	214	324	515	260	268	811	556	539	212	261	949
Metrnl	1	0	1	2	1	0	5	9	57	67	3	0	5	145
AABR07030946.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptchd3	0	0	2	0	0	0	0	0	0	0	0	1	0	1
AABR07030946.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07030951.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AABR07030953.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vom2r65	0	1	8	6	4	4	0	3	1	10	5	2	14	5
AABR07030977.1	0	0	4	4	0	1	0	2	0	1	0	0	2	2
Vom2r1	0	0	0	1	3	1	0	0	1	0	1	0	3	2
Vom2r4	0	0	2	2	0	0	1	1	1	2	0	0	1	4
Rpl5l1	17	4	1	1	0	3	3	1	2	0	2	4	0	8
AABR07050878.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07050879.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07050848.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100909438	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07032977.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epha3	490	529	218	306	230	200	93	67	75	100	86	22	117	42
AABR07032987.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07032987.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Csnka2ip	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AABR07033005.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033020.1	0	1	0	0	1	0	3	2	1	3	0	0	0	1
MGC95208	13	10	4	2	6	27	5	11	12	14	27	11	93	5
Zfp654	64	43	2	7	27	16	9	12	7	4	8	8	0	6
Cggbp1	78	46	24	49	31	59	14	23	46	30	160	51	15	62
Htr1f	1	0	0	0	26	39	0	1	0	0	0	0	0	0
AABR07033027.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033031.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pou1f1	2	5	0	4	6	3	2	2	5	2	0	1	1	1
Chmp2b	337	236	199	205	208	221	188	177	292	271	419	205	67	265
AABR07033045.1	0	1	0	3	0	1	2	0	2	1	10	6	0	6
RGD1561853	1	0	0	0	0	0	0	2	0	3	0	0	1	0
AABR07033056.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033056.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vgll3	3	1	5	2	1	6	4	6	2	3	2	3	6	78
AABR07033060.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033063.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cadm2	5568	5521	1341	2699	2069	2327	1548	1511	2227	1254	1143	414	1635	2241
AABR07033090.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gbe1	558	530	250	418	743	857	891	887	989	690	2082	859	315	877
AABR07033145.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033145.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033162.1	0	0	1	1	0	0	0	0	0	1	0	0	1	0
AABR07033162.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033184.1	83	116	9	19	15	67	884	809	533	361	79	50	254	771
Robo1	592	522	250	254	228	277	2944	2524	2913	2234	8045	2905	7737	8715
AABR07033206.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033215.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Robo2	281	390	353	423	4435	4370	170	147	2338	2007	327	137	1995	2639
AABR07033229.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033234.2	2	2	3	3	184	158	1	2	35	17	19	2	45	235
AABR07033234.1	0	0	0	0	17	4	0	0	0	0	0	0	0	0
Rn50_11_0160.1	0	1	0	0	0	1	0	1	2	2	0	0	0	0
AABR07033249.1	2472	3250	723	1270	979	1324	994	898	1163	697	652	320	845	1153
LOC680121	1	1	1	0	0	0	1	0	0	1	0	0	0	2
Lipi	2	4	14	23	2	11	4	0	5	6	8	7	12	11
AABR07072213.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbm11	22	21	8	16	9	4	2	13	14	8	3	2	3	6
AC115134.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Hspa13	318	165	179	173	140	154	147	140	270	191	233	114	141	155
Samsn1	82	90	29	73	100	54	99	102	258	170	447	153	305	535
AABR07033270.1	72	63	43	67	64	92	71	64	187	169	318	154	266	522
AABR07033271.2	0	0	0	0	11	0	0	0	0	0	0	0	0	0
AABR07033271.1	10	3	7	5	3	5	6	7	9	2	11	1	5	14
Nrip1	1538	1246	545	880	937	752	1012	933	1427	887	1048	363	253	714
AABR07033274.1	0	0	0	1	1	1	0	0	0	1	2	2	1	0
AABR07033279.1	1	0	0	0	0	3	0	1	0	0	1	0	1	1
AABR07033283.1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Usp25	468	456	388	398	304	488	626	587	943	674	1157	396	367	450
AABR07033285.1	20	34	34	54	5	12	63	60	130	141	14	7	21	31
AABR07033287.1	1	1	0	0	0	0	2	4	3	1	1	0	0	0
Mir99a	2	6	0	2	0	2	7	4	31	6	7	3	0	0
Mirlet7c-1	1	2	0	2	4	1	3	9	15	5	2	3	0	3
Mir3588	3	0	0	1	12	1	2	5	9	1	8	1	0	0
AABR07033292.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AABR07033296.1	0	0	0	0	0	0	0	0	0	0	0	0	6	0
AABR07033301.1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
AABR07033303.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cxadr	1006	685	459	703	1823	1965	957	955	908	645	125	66	380	1152
Btg3	31	14	0	6	43	46	45	41	68	39	33	30	47	109
RGD1563888	19	13	2	2	68	113	1	6	17	36	286	106	30	8
AABR07033318.1	2	1	2	2	3	3	2	1	1	0	2	1	1	0
AABR07033324.1	10	7	3	3	3	3	1	1	2	6	3	2	2	1
Chodl	0	1	2	1	1	4	2	0	1	1	0	0	1	6
Tmprss15	5	6	20	19	38	49	5	9	11	20	14	7	14	23
Gm10260	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033366.1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AABR07033402.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033404.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033416.1	0	2	0	3	16	3	1	4	7	12	30	7	0	1
Ncam2	853	743	222	197	1143	1577	979	986	1801	1324	6036	3156	1596	4749
AABR07033465.1	1	1	0	0	0	1	0	0	0	0	0	0	0	0
LOC103693533	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olr922	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033470.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033478.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AABR07033484.1	1	0	4	9	8	13	6	5	10	10	6	3	6	1
AABR07033492.2	0	0	0	2	1	1	0	0	1	0	1	0	0	0
AABR07033492.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir155	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Mrpl39	147	79	166	101	307	267	139	98	172	147	235	99	86	189
Gabpa	291	189	98	140	183	339	212	180	316	107	475	185	29	148
Jam2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp5j	0	0	0	0	0	0	0	0	0	0	0	0	0	0
App	12227	7615	8380	9159	10690	11919	7322	6247	9090	6502	19965	8926	5450	8479
Cyyr1	29	16	25	16	9	17	16	15	166	170	34	10	11	6
AABR07033517.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adamts1	26	8	2	0	71	77	3	5	55	38	195	44	33	151
Adamts5	18	9	7	8	4	7	8	29	252	150	13	16	149	300
AABR07033524.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AABR07033525.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033537.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033540.1	0	0	0	1	0	8	0	0	0	0	0	0	0	1
N6amt1	51	34	4	20	28	91	27	36	79	32	89	35	16	158
Ltn1	841	614	828	975	937	1031	787	708	1097	730	1207	386	879	693
Rwdd2b	33	18	31	41	18	56	28	20	39	63	35	21	107	72
Usp16	480	311	318	374	763	1036	363	337	597	306	546	264	198	327
Cct8	238	162	178	322	372	405	240	322	375	281	359	168	93	431
AABR07033552.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Map3k7cl	7	9	6	8	15	23	2	4	7	16	11	3	4	7
Bach1	15	10	79	18	2	31	44	35	52	38	49	46	4	31
LOC100911851	0	0	0	3	1	0	3	0	1	1	0	1	1	2
AABR07033563.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033564.2	9	3	0	2	2	2	3	6	0	1	13	1	0	2
AABR07033564.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grik1	98	85	19	28	10084	11274	11	11	83	74	305	91	218	739
LOC102549158	1	2	0	4	32	20	1	2	0	7	3	1	43	11
AABR07033570.1	17	44	29	30	7057	8282	11	5	42	39	13	8	151	335
Cldn17	0	0	0	0	2	3	0	0	0	0	0	0	0	0
Cldn8	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Krtap24-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100912272	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap26-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap27-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100363136	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap13-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100363287	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap14l	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap13-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap15-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
AABR07033579.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap19-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033579.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap16-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap22-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033579.3	0	0	1	1	1	1	0	0	0	1	0	0	1	0
AABR07033580.1	1	0	0	0	1	0	0	0	0	1	0	0	0	1
LOC102550816	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102551003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102551105	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102551406	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102551497	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102551679	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033590.1	0	1	10	11	1	4	2	2	5	3	1	2	3	2
Krtap8-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100359671	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap7-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033607.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033607.2	0	0	0	0	0	0	0	0	1	1	1	0	0	0
Krtap11-1	0	0	0	0	0	0	0	1	3	0	0	0	0	0
Tiam1	5136	4832	5682	7296	205	394	5110	4412	4726	3476	911	271	599	1796
AABR07033612.1	2	0	0	0	0	1	1	0	0	0	0	0	0	0
Sod1	105	55	16	44	36	54	69	51	86	104	69	34	32	54
Scaf4	1010	759	656	928	915	1139	862	842	1524	1198	1743	685	976	1575
AABR07033613.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hunk	223	200	56	71	3013	3632	3475	3224	3531	2937	238	176	3023	4503
Mis18a	4	0	6	7	2	9	3	2	8	10	8	5	8	11
Mrap	1	0	5	9	1	1	0	3	5	6	2	3	10	3
Urb1	306	241	259	350	696	755	360	379	605	663	780	308	252	737
AC094784.2	0	0	0	0	0	1	0	0	2	0	0	1	0	0
Eva1c	183	189	206	324	452	526	130	143	258	416	1433	751	1168	707
AC094784.1	2	0	0	0	0	0	0	2	2	0	0	0	0	0
RGD1306954	132	146	40	75	182	185	114	100	283	283	224	116	40	164
Synj1	3626	2866	1068	1757	2689	2622	1550	1328	2059	1102	2592	863	1546	1665
Paxbp1	669	446	446	735	5896	7284	673	605	1148	723	1082	410	528	457
RGD1562726	4	1	0	2	90	95	4	4	5	17	4	28	2	36
AC120732.1	0	0	0	2	0	1	0	1	0	1	0	0	0	1
Olig2	26	24	3	6	2	3	10	15	122	153	896	413	706	1753
Olig1	36	13	1	0	3	0	1	5	42	56	193	78	159	458
Ifnar2	252	175	43	103	146	362	160	191	861	548	462	185	209	589
Il10rb	47	25	12	7	14	21	22	41	782	495	193	109	116	293
Ifnar1	447	308	279	358	369	621	357	448	801	627	816	353	511	610
AC120974.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifngr2	176	104	126	204	382	343	117	130	217	289	338	172	167	157
Tmem50b	1127	832	703	1130	2063	2542	1330	1517	1698	1505	1610	744	796	1432
Dnajc28	17	11	2	0	15	6	13	12	23	0	27	15	1	1
Gart	121	64	137	183	92	140	117	81	194	109	321	174	111	133
Son	2954	2195	1245	1710	2219	2533	1890	1561	3475	2262	4063	1636	1693	1785
Donson	222	138	287	344	381	570	189	169	214	198	135	53	23	236
Cryzl1	889	690	673	848	861	901	759	720	1104	968	791	389	724	920
Itsn1	2888	2576	2484	3194	2594	2948	2932	2826	6695	5342	2117	921	1622	2301
Atp5o	149	81	193	104	129	166	108	97	208	153	78	34	46	134
Mrps6	765	515	548	788	681	784	754	608	1718	1431	1782	733	806	911
AC094964.1	5	2	0	3	0	4	0	0	1	2	3	1	0	0
Kcne2	38	27	21	9	13	6	18	18	56	44	48	12	9	132
Smim11	127	121	262	283	179	169	172	122	450	457	312	108	834	572
LOC498063	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Kcne1	1	0	0	2	0	1	0	0	0	1	0	0	0	0
Rcan1	35	17	55	46	108	211	19	24	86	183	79	34	22	119
Clic6	11	12	23	12	5	8	32	27	524	333	6	10	13	40
Runx1	114	94	158	148	88	170	53	38	138	362	3166	1158	646	337
AABR07033645.1	5	1	63	42	58	125	7	6	14	20	8	8	36	14
Mir802	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGD1562683	5	0	3	4	3	1	7	2	1	1	1	0	1	2
Setd4	265	172	204	196	257	354	357	516	638	466	379	185	244	403
AABR07033650.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102556347	22	22	6	3	33	19	31	43	21	16	124	93	26	10
LOC100360507	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trub2-ps1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rn50_11_0375.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cbr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trub2-ps2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rn50_11_0375.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rn50_11_0375.8	1	4	4	4	6	0	1	2	6	4	44	20	1	0
Cbr3	0	5	1	0	0	5	13	17	20	8	13	9	22	25
Dopey2	1874	1451	2478	3222	928	1301	1267	1351	2065	2159	1136	568	1157	972
Rn50_11_0377.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Morc3	753	570	907	1085	630	845	620	601	1316	944	1706	737	634	1438
Chaf1b	13	10	23	26	9	10	7	5	35	10	151	118	24	5
Cldn14	1	0	20	19	6	3	2	3	4	13	7	8	9	3
AABR07033666.1	1	0	0	0	14	4	2	1	4	2	0	0	0	0
Sim2	1054	949	1270	1530	1986	2276	572	507	1045	1151	342	207	261	499
Hlcs	3544	3274	2925	3867	3623	3585	2438	2031	5287	4488	3400	1430	2230	2813
Ripply3	0	1	3	5	0	1	1	1	1	5	8	2	3	1
Pigp	102	52	12	19	78	52	53	36	119	40	81	36	54	59
Ttc3	8110	5806	7210	9596	7236	9018	8491	8218	11619	7582	6665	3049	4595	9338
AABR07033674.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dscr3	250	216	90	123	246	202	183	212	647	409	454	228	103	438
Dyrk1a	3197	2560	2704	3706	3502	4266	2838	2835	5953	4906	6061	2765	2708	4129
Kcnj6	2190	1698	883	1303	50	84	117	70	450	212	108	20	137	349
AABR07033679.1	2	5	5	17	0	0	0	0	0	2	0	0	0	0
AABR07033688.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Kcnj15	4	1	7	5	3	2	0	0	1	0	7	2	3	0
AABR07033697.2	1	0	13	18	5	6	2	2	3	4	10	2	14	7
AABR07033697.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erg	24	4	47	57	18	28	13	7	131	130	25	15	33	24
AABR07033698.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Ets2	320	234	137	386	113	187	66	84	71	48	106	26	14	134
Psmg1	82	68	219	248	292	248	89	79	141	186	230	83	153	69
Brwd1	1811	1406	1524	2177	2144	2246	1969	1842	2763	1852	3366	1415	1419	2221
Mir6324	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC142178.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hmgn1	0	0	1	1	0	0	2	2	0	4	0	0	3	4
Wrb	168	108	136	238	153	242	179	160	263	185	207	176	164	441
Lca5l	1	0	3	1	1	2	0	1	2	4	0	1	10	3
Sh3bgr	55	26	57	56	9	10	4	7	6	12	8	2	16	8
AC142178.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC142178.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3galt5	253	181	145	71	159	332	158	183	497	309	3285	1458	599	1187
Mir6325	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Igsf5	2	3	6	14	13	20	4	8	18	23	60	28	29	23
Pcp4	63	55	28	32	5283	8520	722	689	208	226	28	25	96	738
Dscam	542	569	174	170	6671	7744	4943	4585	4479	4190	679	361	14836	19693
AABR07033720.1	288	337	31	40	4381	4764	3612	3483	3826	4165	632	334	13671	19295
AABR07033730.1	1	0	7	4	10	13	3	3	4	7	2	2	41	23
Bace2	33	37	15	13	34	49	13	30	305	127	843	590	64	54
Mx1	3	1	9	4	3	8	0	1	5	31	75	4	13	10
Fam3b	1	0	1	2	4	2	4	3	5	3	1	0	16	9
Mx2	5	2	10	2	10	8	7	7	156	74	86	49	75	52
Tmprss2	0	1	5	0	36	13	3	3	16	11	4	4	24	28
Ripk4	1	0	3	4	3	3	3	1	2	5	3	0	12	11
Prdm15	335	254	292	496	499	717	272	306	357	492	384	182	316	502
C2cd2	1174	1036	1436	2141	635	796	684	579	783	652	580	216	842	872
Zfp295	442	337	175	333	443	434	408	304	524	289	617	332	248	411
Nsun3	135	110	121	91	116	106	74	54	163	128	249	120	32	217
LOC686837	1	0	2	1	2	7	0	1	1	2	1	2	0	0
LOC103690343	73	77	19	59	123	194	86	95	125	92	137	46	28	117
AABR07033745.1	0	0	0	1	3	6	0	3	1	0	6	0	0	3
AABR07033757.1	14	13	4	3	155	126	35	33	77	43	9	3	9	128
AABR07033759.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033793.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AABR07033817.1	0	2	15	20	4	7	2	0	1	7	6	2	4	5
LOC100911295	1	0	2	2	0	1	0	1	2	1	2	2	0	12
AABR07033819.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033829.1	1	1	6	7	38	56	5	6	3	6	4	6	8	7
AABR07033836.1	3	2	9	19	14	29	3	9	12	27	11	11	22	11
RGD1565472	0	1	0	0	1	1	0	0	2	1	0	0	0	1
AABR07033837.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033850.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033850.1	3	2	2	2	5	9	1	4	5	1	6	4	2	3
AABR07033851.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033851.2	2	1	7	5	7	18	8	4	12	10	4	1	2	7
AABR07033854.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033856.1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
AABR07033859.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033867.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
