Gene	1464_lt_granule	1465_lt_basket	1463_lt_glia	1468_zh_granule	1469_zh_basket	1467_zh_glia	1410_sg_granule	1426_sg_basket	1394_sg_glia	1411_or_granule	1427_or_basket	1395_or_glia
KIF9	48	58	13	57	59	41	69	106	32	62	96	403
PTPN23	192	262	302	232	297	302	516	518	303	516	555	2271
ELP6	112	116	89	116	118	131	235	226	114	223	172	582
MIR1226	0	0	0	0	0	0	0	0	0	0	0	0
CAMP	0	0	0	0	0	1	0	0	0	0	0	0
CDC25A	15	17	7	8	17	8	25	36	4	27	18	76
MIR4443	0	0	0	0	0	0	0	0	0	0	0	0
ZNF589	387	349	282	416	346	189	1163	931	282	848	768	2617
SPINK8	127	162	51	122	138	48	278	266	28	233	308	185
MIR2115	0	0	0	0	0	0	0	0	0	0	0	0
NME6	112	76	98	156	141	64	413	351	102	249	266	887
FCF1P2	45	66	26	55	33	21	95	113	15	86	39	80
PLXNB1	54	92	1216	85	122	1179	169	269	1496	217	240	9068
ATRIP	65	76	34	80	45	33	145	99	70	136	83	426
CCDC51	24	37	43	15	11	7	35	34	15	29	76	81
FBXW12	92	121	22	65	55	21	179	177	12	146	138	159
TREX1	5	5	20	6	11	15	20	6	29	29	11	148
TMA7	50	25	28	48	53	40	76	67	25	98	65	179
UCN2	8	0	2	7	0	0	13	0	1	4	5	4
PFKFB4	127	147	212	105	150	249	272	318	233	196	325	1575
MIR711	0	0	0	0	0	0	0	0	0	0	0	0
TMEM89	0	0	1	0	1	0	1	0	0	1	0	0
MIR6823	0	0	0	0	0	0	0	0	0	0	0	0
COL7A1	64	44	19	89	42	32	150	134	89	166	101	240
UQCRC1	34	65	45	16	41	32	76	63	53	92	105	343
SNORA94	0	0	0	0	0	0	0	0	0	0	0	0
IP6K2	621	567	401	573	402	352	1089	907	328	968	687	2039
CELSR3	278	258	52	359	299	48	915	973	61	989	607	455
MIR6824	0	0	0	0	0	0	0	0	0	0	0	0
NCKIPSD	166	109	128	177	155	91	312	220	107	299	197	692
MIR4793	0	0	0	0	0	0	0	0	0	0	0	0
CELSR3-AS1	26	20	8	30	34	10	57	44	12	38	37	84
PRKAR2A-AS1	4	9	14	13	4	16	17	15	10	23	21	66
ARIH2OS	2	1	3	1	2	1	2	7	0	1	0	25
P4HTM	115	244	170	129	299	146	356	535	333	375	361	1131
MIR425	0	0	0	0	0	0	0	0	0	0	0	0
ARIH2	1090	1090	1487	1037	984	1376	1873	1951	1209	1659	1614	8259
MIR191	0	0	0	0	0	0	0	0	0	0	0	0
WDR6	24	47	111	35	36	73	59	51	147	60	70	735
QRICH1	663	762	619	637	548	514	1290	1045	517	1142	1231	3063
USP19	62	87	84	47	58	82	122	179	125	190	112	729
QARS	41	64	143	39	56	86	91	102	98	102	105	939
LAMB2	6	21	171	9	21	190	7	28	276	14	36	1177
MIR6890	0	0	0	0	0	0	0	0	0	0	0	0
IMPDH2	60	25	79	115	53	134	146	232	62	167	108	703
C3orf62	87	90	44	118	98	63	146	115	56	164	129	276
LAMB2P1	13	7	5	8	4	5	18	35	27	23	37	56
CCDC36	46	31	12	47	22	30	62	166	9	75	50	113
KLHDC8B	16	12	8	6	8	15	19	3	11	16	10	131
MIR4271	0	0	0	0	0	0	0	0	0	0	0	0
CCDC71	12	6	22	7	17	8	50	51	13	39	20	241
C3orf84	15	1	1	21	2	2	39	4	3	42	7	7
GPX1	3	4	7	5	8	5	16	4	2	14	24	55
RHOA	650	566	548	831	389	492	1494	784	335	1138	716	2581
AMT	118	44	65	107	57	130	211	166	89	257	131	836
DAG1	333	455	574	347	376	562	794	845	432	676	845	3978
NICN1	44	64	64	75	51	68	124	61	74	128	119	462
BSN	3885	2180	606	3612	2205	616	8527	4711	546	7341	3714	2954
BSN-AS2	16	8	11	11	15	17	33	25	16	29	22	100
GMPPB	0	1	1	3	5	1	2	10	9	6	5	77
IP6K1	1118	813	857	980	687	786	1870	1671	581	1649	1534	4780
CDHR4	0	1	1	2	1	0	0	0	0	0	0	4
FAM212A	2	0	3	4	0	1	2	0	0	4	0	111
MIR5193	0	0	0	0	0	0	0	0	0	0	0	0
MST1	11	16	31	10	35	36	37	78	67	30	16	402
AMIGO3	0	0	0	0	0	0	0	0	0	0	0	0
RNF123	350	290	218	343	276	234	854	590	237	772	539	1512
TRAIP	12	13	6	4	10	3	13	7	2	16	23	38
MON1A	24	39	81	31	61	50	69	119	38	57	182	311
MST1R	7	4	4	3	8	1	7	8	2	8	11	29
CAMKV	1	8	0	2	8	0	4	52	4	4	60	2
GNAT1	0	0	0	0	0	0	0	0	0	0	0	0
RBM5	1135	913	1571	1066	847	1487	1861	1726	1659	1549	1388	9025
MIR566	0	0	0	0	0	0	0	0	0	0	0	0
RBM5-AS1	0	0	0	0	0	0	0	0	0	0	0	0
SEMA3F	2	20	1	2	8	2	6	21	0	8	27	3
SEMA3F-AS1	8	11	5	7	3	6	17	15	2	39	17	31
SEMA3B	2	4	339	2	18	301	7	10	240	13	11	2271
GNAI2	163	171	306	166	180	308	363	206	272	355	172	2039
HYAL3	10	4	0	9	7	3	23	3	3	19	15	23
TUSC2	12	14	16	21	34	28	35	49	17	42	71	169
NAT6	0	0	0	0	0	0	0	0	0	0	0	0
LSMEM2	5	0	38	1	6	24	14	22	18	6	7	310
SLC38A3	0	3	142	0	6	121	0	2	186	1	30	1265
HYAL1	37	61	24	29	70	36	60	152	16	62	73	167
HYAL2	2	4	16	3	13	7	11	5	4	19	13	134
MIR6872	0	0	0	0	0	0	0	0	0	0	0	0
SEMA3B-AS1	0	0	2	0	0	4	2	2	1	2	0	20
MIR5787	0	0	0	0	0	0	0	0	0	0	0	0
IFRD2	3	5	6	5	6	4	9	19	4	9	21	69
CYB561D2	12	32	49	22	38	29	29	75	62	33	37	296
RASSF1-AS1	0	0	0	0	0	0	0	0	0	0	0	0
TMEM115	0	0	0	0	0	0	0	0	0	0	0	0
ZMYND10	0	1	7	0	0	3	5	19	10	7	0	23
NPRL2	41	47	41	40	49	20	68	64	28	72	146	298
C3orf18	59	146	28	60	115	29	143	130	43	247	224	303
HEMK1	36	77	93	46	104	110	75	150	133	83	146	903
CISH	0	8	0	0	8	0	1	24	0	1	46	1
MAPKAPK3	9	38	65	5	66	103	12	93	85	6	159	682
MIR4787	0	0	0	0	0	0	0	0	0	0	0	2
MANF	6	18	22	5	19	20	34	33	10	22	16	97
RBM15B	37	23	38	17	25	37	74	38	60	72	77	219
VPRBP	685	544	578	633	428	492	1216	1039	381	923	732	3189
TEX264	24	55	47	14	53	39	67	167	90	41	131	381
GRM2	4	8	4	0	5	1	10	29	3	16	2	10
IQCF3	0	0	0	0	0	0	2	0	0	0	5	0
IQCF5	0	0	0	0	0	0	0	0	0	0	0	0
IQCF6	0	0	0	0	0	0	0	0	0	0	0	0
IQCF4	0	0	0	0	0	0	0	0	0	0	0	0
IQCF1	17	4	5	12	2	19	16	12	0	14	19	9
IQCF2	2	0	3	1	1	0	1	0	0	1	0	0
IQCF5-AS1	0	0	0	0	0	0	1	0	0	1	0	0
ACY1	0	0	0	0	0	0	0	0	0	0	0	0
PCBP4	322	162	667	399	230	500	829	308	563	1217	378	4784
GPR62	0	0	21	0	0	8	1	0	16	1	1	148
ABHD14A-ACY1	25	20	10	30	12	18	62	36	15	39	8	74
ABHD14B	36	33	39	45	75	36	113	141	57	114	90	245
RPL29	17	7	13	7	6	10	19	15	18	20	8	61
PARP3	9	9	25	8	8	24	14	12	37	17	24	203
RRP9	0	2	11	5	4	8	13	10	7	22	67	73
ABHD14A	0	0	0	0	0	0	0	0	0	0	0	0
POC1A	18	2	37	32	7	49	44	59	47	42	1	251
DUSP7	31	32	251	38	22	191	109	42	87	133	25	1456
LINC00696	0	0	0	1	0	0	0	1	0	0	0	1
WDR82	589	458	318	531	299	417	1118	665	340	1004	810	2119
ALAS1	247	82	92	218	43	122	576	187	96	501	118	432
MIR135A1	0	0	0	0	0	0	0	0	0	0	0	0
GLYCTK	6	20	16	2	6	15	8	43	53	23	5	126
TWF2	25	1	4	32	12	21	47	14	4	64	19	165
PPM1M	16	6	19	29	8	22	48	4	15	33	27	101
MIRLET7G	0	0	0	0	0	0	0	0	0	0	0	0
LOC101929054	0	0	2	0	1	8	2	1	1	2	1	13
TLR9	15	2	2	11	1	4	19	2	0	40	8	49
GLYCTK-AS1	0	0	0	0	0	0	0	0	0	0	0	0
DNAH1	190	274	584	180	315	508	571	1034	653	506	516	4073
PHF7	98	186	91	110	108	158	136	195	83	126	264	536
BAP1	62	97	83	54	69	88	161	176	99	167	91	723
NT5DC2	26	0	14	16	1	17	35	0	67	58	0	257
SEMA3G	105	9	3	36	0	0	170	14	0	177	1	3
NISCH	946	540	356	907	542	372	1788	1251	371	1955	891	2495
SMIM4	120	65	72	77	56	92	224	96	36	164	107	484
STAB1	5	1	17	6	0	14	12	16	15	4	1	216
TNNC1	0	0	0	1	0	3	0	0	1	2	0	6
SNORD19	0	0	0	0	0	0	0	0	0	0	0	0
SNORD19B	0	0	0	0	0	0	0	0	0	0	0	0
SNORD136	0	0	0	0	0	0	0	0	0	0	0	0
GLT8D1	66	70	104	106	82	87	257	284	102	176	359	614
NEK4	905	680	403	845	627	434	1657	1214	461	1167	1072	2360
ITIH1	0	0	0	1	3	0	3	1	1	3	1	20
ITIH3	1	4	10	1	7	3	11	12	1	18	4	21
SNORD69	0	0	0	0	0	0	0	0	0	0	0	0
SPCS1	51	43	49	28	43	42	73	79	27	65	119	260
MUSTN1	0	0	0	0	0	0	0	0	0	0	0	0
TMEM110-MUSTN1	1	3	20	10	29	39	19	16	45	22	24	470
ITIH4-AS1	0	0	0	0	0	0	0	0	0	0	0	0
MIR8064	0	0	0	0	0	0	0	0	0	0	0	0
TMEM110	0	0	0	0	0	0	0	0	0	0	0	0
PRKCD	1	506	25	3	478	17	5	895	6	2	976	191
RFT1	310	465	354	285	293	297	530	769	237	511	712	1566
TKT	70	234	154	125	248	402	195	479	251	205	440	1327
IL17RB	263	258	516	370	295	1811	514	563	711	482	373	3058
CHDH	454	285	662	391	463	827	941	566	669	592	781	4118
SELK	52	62	51	331	61	228	80	93	26	64	117	233
ESRG	0	0	0	0	0	0	0	0	0	0	0	0
CACNA2D3-AS1	0	0	0	0	0	0	0	0	0	0	0	0
WNT5A	6	2	250	4	23	288	10	2	339	5	15	1949
ERC2-IT1	0	0	0	0	0	0	0	0	0	0	0	0
MIR3938	0	0	0	0	0	0	0	0	0	0	0	0
CCDC66	2382	1865	1863	1885	1314	1062	3670	3149	978	2654	2965	7272
ARHGEF3-AS1	0	0	0	0	0	0	0	0	0	0	0	0
SPATA12	0	0	0	0	0	0	0	0	0	0	0	0
HESX1	0	2	1	0	0	0	2	0	8	1	2	2
APPL1	859	459	578	727	271	405	1442	902	384	1053	910	2641
PDE12	90	104	82	117	57	54	208	187	83	175	150	477
ARF4	418	337	265	802	241	504	1012	717	263	652	582	1518
ARF4-AS1	70	62	85	92	59	108	111	171	99	108	246	742
RPP14	232	187	140	228	136	160	435	333	110	303	277	734
ABHD6	1164	2657	1538	1244	1628	1241	1725	3522	758	1562	3545	8633
PDHB	99	114	147	90	46	82	239	114	119	153	158	848
PXK	1518	1255	8850	1867	1219	7783	3110	1819	4343	2247	2185	48628
ACOX2	115	119	120	71	145	153	274	257	216	137	236	662
KCTD6	256	291	145	255	179	180	486	718	172	323	341	624
FAM3D	2	24	4	4	1	3	8	22	0	3	3	50
FAM3D-AS1	1	20	2	0	0	6	4	13	0	3	1	5
MIR548BB	0	0	0	0	0	0	0	0	0	0	0	0
C3orf14	224	171	80	194	174	93	379	381	75	243	190	296
FEZF2	0	0	0	0	0	0	0	1	0	0	0	0
PTPRG-AS1	69	84	135	116	140	230	221	158	165	70	189	783
LINC00698	0	1	0	1	2	0	0	1	0	1	13	2
SNTN	22	3	1	21	10	3	15	2	8	22	36	6
THOC7	193	142	116	147	216	116	344	343	113	190	258	516
THOC7-AS1	0	0	0	0	0	0	0	0	0	0	0	0
LINC00994	0	0	0	0	0	0	0	0	0	0	0	0
PSMD6	415	252	359	439	146	367	1013	406	378	541	453	1581
PSMD6-AS2	383	115	173	418	163	208	1033	308	199	395	330	926
PRICKLE2-AS2	0	0	0	0	0	0	0	0	0	0	0	0
PRICKLE2-AS3	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS9-AS1	0	0	0	0	0	0	0	0	0	0	0	0
MAGI1-AS1	0	0	0	0	0	0	0	0	0	0	0	0
KBTBD8	27	13	9	52	16	19	81	37	5	41	34	78
MIR4272	0	0	0	0	0	0	0	0	0	0	0	0
EOGT	96	306	189	117	211	124	133	244	60	122	451	918
TMF1	670	611	465	581	381	353	1318	871	342	863	767	2057
MIR3136	0	0	0	0	0	0	0	0	0	0	0	0
LMOD3	5	5	4	3	2	2	3	0	5	3	2	21
ARL6IP5	266	266	462	239	183	436	447	338	344	383	370	3005
LINC01212	7	6	37	4	8	30	6	2	11	10	6	132
MIR1284	0	0	0	0	0	0	0	0	0	0	0	0
PROK2	0	1	0	0	2	0	0	2	0	0	0	17
GPR27	2	0	2	1	0	0	9	1	0	7	6	8
LINC00870	1	1	197	1	11	127	2	0	103	1	13	1234
RYBP	895	366	5243	1019	470	3295	1738	768	2549	978	657	26014
SHQ1	293	260	597	292	244	431	629	606	451	417	511	3219
GXYLT2	5	34	390	5	22	466	2	13	261	7	24	2145
EBLN2	0	0	0	0	0	0	0	0	0	0	0	0
PDZRN3-AS1	0	2	1	0	0	1	0	2	0	0	0	3
FAM86DP	33	39	91	29	89	100	99	141	107	72	106	709
MIR1324	0	0	0	0	0	0	0	0	0	0	0	0
FRG2C	6	3	1	2	4	9	2	4	0	3	23	23
LINC00960	16	23	20	16	30	27	25	69	10	26	47	142
MIR4273	0	0	0	0	0	0	0	0	0	0	0	0
MIR3923	0	0	0	0	0	0	0	0	0	0	0	0
SNORA95	0	0	0	0	0	0	0	0	0	0	0	0
MIR5688	0	0	0	0	0	0	0	0	0	0	0	0
CADM2-AS2	0	0	0	0	0	0	0	0	0	0	0	0
VGLL3	1	3	1	3	12	0	2	2	2	3	3	11
LINC00506	19	400	311	40	423	310	12	899	345	12	560	1082
MIR4795	0	0	0	0	0	0	0	0	0	0	0	0
POU1F1	3	0	2	7	4	3	12	3	7	6	11	4
CHMP2B	275	346	280	257	407	395	503	663	275	229	442	1062
HTR1F	1	3	1	1	2	1	1	0	1	1	1	8
C3orf38	99	57	80	94	46	92	172	69	61	127	116	446
ZNF654	0	0	0	0	0	0	0	0	0	0	0	0
PROS1	21	258	179	40	305	241	47	337	77	26	406	675
ARL13B	680	596	756	864	591	724	1505	1316	609	842	1109	3078
DHFRL1	50	45	65	24	20	42	69	63	39	49	69	456
STX19	0	0	0	0	0	0	0	0	0	0	0	0
LINC00879	6	2	2	3	0	3	2	5	3	7	5	8
MIR8060	0	0	0	0	0	0	0	0	0	0	0	0
MINA	138	55	226	126	50	197	272	132	175	195	121	1056
GABRR3	1	0	6	0	1	2	0	2	0	0	0	31
OR5AC2	0	0	0	0	0	0	0	0	0	0	0	0
OR5H15	0	0	0	0	0	0	0	0	0	0	0	0
OR5H14	0	0	0	0	0	0	0	0	0	0	0	0
OR5H1	0	0	0	0	0	0	0	0	0	0	0	0
OR5H2	0	0	0	0	0	0	0	0	0	0	0	0
OR5H6	0	0	0	0	0	0	0	0	0	0	0	0
OR5K4	0	0	0	0	0	0	0	0	0	0	0	0
OR5K3	0	0	0	0	0	0	0	0	0	0	0	0
CLDND1	217	160	2483	253	184	1109	512	316	1035	349	285	12535
GPR15	0	0	0	2	0	1	0	0	1	0	0	7
OR5K2	1	0	0	0	0	0	2	0	0	1	0	0
OR5K1	0	0	0	0	0	0	0	0	0	0	0	0
CPOX	138	82	495	96	73	506	197	114	342	174	83	2690
ST3GAL6	1172	185	4304	1456	527	6684	2380	522	7276	1508	497	26080
ST3GAL6-AS1	26	7	193	20	14	312	24	10	232	56	29	1802
HP09053	3	2	5	4	0	0	9	11	9	9	1	18
MIR3921	0	0	0	0	0	0	0	0	0	0	0	0
TMEM30C	5	2	9	21	6	8	20	25	2	16	4	6
NIT2	99	189	136	112	92	98	161	320	152	155	230	830
LNP1	344	355	157	311	301	144	601	350	171	419	462	739
TFG	927	771	790	938	871	826	1908	1789	729	1300	1597	3919
FAM172BP	1	0	0	0	0	0	0	0	1	0	0	0
TRMT10C	40	30	23	42	24	10	87	36	38	56	49	86
RPL24	104	128	162	126	103	145	212	146	174	185	118	770
ZBTB11	494	248	261	671	352	484	1063	696	197	751	440	1431
ZBTB11-AS1	11	11	14	6	6	14	22	14	8	9	19	76
NXPE3	685	730	1909	545	449	1604	1158	1095	923	828	1080	9448
PDCL3P4	17	54	52	7	36	36	32	18	48	17	75	241
CEP97	917	762	1318	816	549	1230	1562	1384	1019	1143	1147	7371
ZPLD1	0	0	0	0	0	0	1	2	0	0	1	4
MIR548AB	0	0	0	0	0	0	0	0	0	0	0	0
DUBR	810	584	2893	876	821	2768	1656	1308	1901	812	1188	16581
LOC101929607	16	33	41	22	35	32	44	113	21	26	37	205
LOC101929579	0	13	21	0	1	14	1	0	2	0	0	94
CCDC54	0	0	5	0	0	0	0	0	1	0	0	11
LINC00636	34	14	27	34	13	16	38	14	7	42	20	87
CD47	4392	1395	1975	4529	1284	1738	9313	2663	1414	5288	2182	7352
IFT57	262	218	305	306	283	392	516	400	230	255	388	1292
HHLA2	19	19	35	17	11	53	26	21	19	16	10	412
KIAA1524	212	204	81	185	127	87	348	324	46	194	177	474
RETNLB	0	0	0	0	0	0	0	0	0	0	0	0
TRAT1	0	0	0	0	0	2	2	3	0	2	0	4
FLJ22763	0	0	0	0	0	0	0	0	1	0	1	1
DPPA4	0	1	0	2	0	1	0	6	0	3	1	7
MIR4445	0	0	0	0	0	0	0	0	0	0	0	0
PVRL3-AS1	1	24	171	4	40	197	1	155	207	1	97	1050
ZBED2	0	0	0	0	0	0	0	0	0	0	0	0
PLCXD2-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ABHD10	326	215	198	244	178	242	554	350	152	371	390	916
TAGLN3	561	385	467	608	426	797	911	666	1131	945	733	3577
MIR567	0	0	0	0	0	0	0	0	0	0	0	0
C3orf52	9	7	0	9	4	4	0	0	0	7	14	5
GCSAM	2	0	0	5	5	2	0	0	0	8	2	1
CD200	759	500	275	675	449	298	1581	948	193	965	836	1559
ATG3	325	187	354	326	156	424	503	443	242	395	354	1525
BTLA	5	5	2	9	5	11	12	9	4	8	29	46
SLC35A5	240	195	389	214	139	284	548	484	203	308	372	1604
LINC01279	10	7	74	9	7	101	8	0	121	6	4	375
CCDC80	5	3	285	8	12	630	1	1	474	4	8	2240
CD200R1L	0	0	0	0	0	5	0	1	0	0	1	3
LOC101929694	0	1	3	0	1	11	0	1	6	0	0	8
CD200R1	7	37	7	11	55	14	27	101	8	25	137	63
C3orf17	602	418	530	639	293	532	1490	632	617	960	509	3123
GTPBP8	55	16	45	80	37	100	143	105	18	60	48	328
LOC101929717	26	20	39	37	69	97	48	56	122	47	80	263
MIR8076	0	0	0	0	0	0	0	0	0	0	0	0
CFAP44-AS1	0	0	0	0	0	0	0	0	0	0	0	0
MIR4446	0	0	0	0	0	0	0	0	0	0	0	0
SIDT1	2291	1594	319	2521	1975	261	4349	3736	326	3379	2770	1392
USF3	1094	456	462	1129	425	633	2899	954	584	1785	833	3045
NAA50	680	500	376	808	517	491	1377	1178	405	945	741	2030
ZDHHC23	59	22	48	125	9	29	184	9	61	148	49	97
QTRT2	106	141	229	123	129	163	188	170	98	122	174	1018
ZNF80	0	0	0	0	4	0	0	2	0	1	3	0
ZBTB20-AS1	0	0	0	0	0	0	0	0	0	0	0	0
MIR568	0	0	0	0	0	0	0	0	0	0	0	0
LOC101929754	0	0	0	0	0	0	0	0	0	0	0	0
MIR4796	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB20-AS3	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB20-AS4	0	0	0	0	0	0	0	0	0	0	0	0
GAP43	5108	1227	169	5895	1369	212	11302	2227	206	6264	2050	1009
LSAMP-AS1	0	0	0	0	0	0	0	0	0	0	0	0
TUSC7	0	63	223	0	88	394	4	171	361	1	213	1443
MIR4447	0	0	0	0	0	2	0	0	0	0	0	24
LINC00901	1	52	295	2	131	435	3	177	434	4	123	1840
IGSF11-AS1	0	0	0	0	0	0	0	0	0	0	0	0
UPK1B	58	48	26	68	51	35	102	70	44	80	106	221
C3orf30	7	0	2	12	3	4	4	0	2	6	1	1
B4GALT4	135	117	133	117	81	123	171	267	82	122	293	629
ARHGAP31-AS1	0	0	0	0	0	0	0	0	0	0	0	0
TMEM39A	372	285	577	513	231	497	829	449	851	594	360	3084
POGLUT1	260	124	261	163	151	208	397	386	250	259	260	1463
TIMMDC1	331	355	562	257	329	502	733	708	405	549	693	3120
POPDC2	115	65	58	80	47	35	169	161	22	104	101	289
ADPRH	4	23	9	5	28	13	9	59	23	11	67	164
PLA1A	4	3	4	4	11	3	6	9	8	3	58	39
MAATS1	242	731	246	252	879	303	462	1702	268	213	1284	1849
COX17	197	146	120	125	71	128	306	152	112	207	121	943
MIR198	0	0	0	0	0	0	0	0	0	0	0	0
FSTL1	43	111	1051	53	198	2110	52	237	1680	49	150	5217
LRRC58	489	460	392	535	491	533	1088	728	298	713	787	1782
HGD	21	19	13	25	22	12	49	43	16	39	48	163
NDUFB4	420	210	261	323	153	354	560	274	200	536	231	1023
GTF2E1	243	159	185	145	153	152	399	247	173	308	293	1105
MIR5682	0	0	0	0	0	0	0	0	0	0	0	0
ARGFX	3	4	3	0	5	1	4	3	2	4	12	8
FBXO40	0	0	0	0	3	0	1	2	3	1	4	7
GOLGB1	2791	2657	2855	2526	2134	2405	5216	3886	2302	2980	3029	11649
IQCB1	912	518	793	914	458	819	1746	957	557	993	880	3670
EAF2	198	105	546	204	142	1188	467	340	742	181	223	3912
ILDR1	0	3	18	1	6	34	0	1	7	8	2	106
CD86	2	4	43	0	21	65	6	8	14	0	4	311
CASR	2	2	2	3	2	2	8	2	0	4	1	9
FAM162A	331	328	328	428	372	626	675	768	324	458	641	1908
CSTA	0	1	1	1	0	2	1	1	1	1	7	9
WDR5B	50	50	41	60	33	81	126	78	42	86	106	396
CCDC58	217	168	209	186	233	185	610	477	259	320	355	1162
KPNA1	1292	796	1228	1446	827	1113	2271	1521	980	1437	1317	5540
PARP15	3	1	8	4	0	3	5	2	2	1	3	25
DTX3L	0	1	88	0	7	80	0	2	66	0	1	651
HSPBAP1	222	429	577	256	339	453	390	868	380	277	1145	3093
LOC100129550	192	367	165	213	254	222	371	514	160	283	443	1031
MIR7110	0	0	0	0	0	0	0	0	0	0	0	0
HACD2	1555	691	1349	1848	693	1050	3113	1414	840	2010	1132	5624
MYLK-AS2	0	0	0	0	0	0	0	0	0	0	0	0
ROPN1	0	1	3	0	1	7	1	1	4	0	0	34
CCDC14	4	248	1661	51	253	1498	21	497	1470	8	327	6211
MIR5002	0	0	0	0	0	0	0	0	0	0	0	0
MIR6083	0	0	0	0	0	0	0	0	0	0	0	0
UMPS	143	151	105	97	128	71	252	419	218	190	114	529
MIR544B	0	0	0	0	0	0	0	0	0	0	0	0
MIR5092	0	0	0	0	0	0	0	0	0	0	0	0
SNX4	836	802	811	757	447	657	1381	1317	689	1060	1212	4113
MIR548I1	0	1	9	0	1	1	0	0	0	1	2	15
ALG1L	1	16	8	0	1	2	5	30	35	5	14	92
FAM86JP	8	56	18	2	15	12	26	82	38	16	72	155
ROPN1B	65	136	81	101	95	22	164	294	134	141	200	309
ALDH1L1-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ALDH1L1	160	395	2020	48	189	3440	362	654	3036	140	377	17517
ALDH1L1-AS2	25	149	137	11	103	277	73	166	266	26	195	899
CFAP100	110	40	86	93	110	112	276	246	114	209	328	803
ZXDC	1198	640	1357	1172	745	1771	1828	859	902	1632	963	9001
CCDC37-AS1	0	0	0	1	0	0	0	0	0	1	0	0
C3orf22	1	1	3	7	1	5	5	27	15	7	6	123
CHST13	1	0	1	0	0	0	0	0	0	0	0	2
TXNRD3NB	215	133	166	176	151	171	458	357	234	279	220	1106
NUP210P1	0	0	1	0	0	0	1	0	0	0	0	3
C3orf56	1	0	0	0	0	0	0	0	0	0	0	1
LOC101927123	2	0	0	1	3	0	13	23	0	2	0	3
TPRA1	61	69	59	46	91	52	156	224	53	187	93	457
MIR7976	0	0	0	0	0	0	0	0	0	0	0	0
MCM2	18	36	17	21	34	9	41	62	11	44	51	246
MIR6825	0	0	0	0	0	0	0	0	0	0	0	0
ABTB1	147	120	104	202	93	73	354	376	46	475	249	650
RUVBL1	171	374	215	208	396	201	335	702	214	327	510	1462
RUVBL1-AS1	0	0	0	0	0	0	0	0	0	0	0	0
DNAJB8-AS1	2	0	0	4	7	4	10	28	0	3	15	5
LINC01565	0	2	0	0	0	0	0	1	0	0	1	2
GATA2	0	1	0	5	9	2	5	5	0	3	3	2
DNAJB8	0	0	0	0	0	1	0	0	0	0	0	0
LOC90246	3	0	0	0	3	0	5	3	0	1	9	0
GATA2-AS1	10	6	3	6	29	1	24	4	0	25	12	34
RPN1	163	305	273	173	164	169	376	544	157	339	417	1382
RAB7A	1914	1713	1920	2350	1647	2177	4314	2796	1807	3056	2708	11638
ACAD9	551	540	478	444	537	512	1036	1095	340	1016	839	2573
LOC653712	9	15	14	9	7	18	15	16	29	17	40	70
GP9	0	0	0	0	1	0	0	0	0	0	2	0
EFCC1	7	416	11	4	472	2	16	944	6	10	699	61
ISY1	0	0	0	0	0	0	0	0	0	0	0	0
CNBP	795	435	433	665	316	445	1584	720	425	1126	636	2656
COPG1	198	233	223	179	222	202	464	471	184	412	470	1359
HMCES	127	143	125	284	141	159	254	216	100	213	201	818
H1FX	6	8	5	5	8	3	18	14	5	21	17	16
MIR6826	0	0	0	0	0	0	0	0	0	0	0	0
H1FX-AS1	49	31	33	69	56	43	143	76	14	59	39	227
RPL32P3	392	335	371	433	423	433	827	684	403	775	598	2880
SNORA7B	0	0	0	0	0	0	0	0	0	0	0	0
MBD4	208	92	153	199	82	125	362	139	121	278	182	819
EFCAB12	67	39	6	72	46	4	128	35	3	77	70	57
H1FOO	0	0	1	0	1	1	0	1	0	0	0	1
RHO	2	3	2	2	2	1	10	11	1	4	2	6
PLXND1	3	11	352	2	11	434	0	4	298	1	24	2517
TRH	0	3	4	1	12	6	2	10	2	1	3	15
TMCC1-AS1	21	38	59	12	38	70	50	59	49	31	71	386
FAM86HP	24	52	40	32	53	44	82	105	108	29	35	181
ALG1L2	16	17	14	12	16	18	34	67	24	20	29	99
COL6A4P2	14	28	57	17	13	47	32	37	63	6	8	34
COL6A6	436	459	412	458	584	479	873	1052	367	608	1164	2865
PIK3R4	504	600	558	733	417	513	983	682	395	694	824	2802
ASTE1	140	108	72	137	132	58	227	203	48	171	276	301
NUDT16	220	283	168	250	220	188	407	341	149	398	430	1165
NUDT16P1	0	0	0	0	0	0	0	0	0	0	0	0
SNORA58	0	0	0	0	0	0	0	0	0	0	0	0
MIR5704	0	0	0	0	0	0	0	0	0	0	0	0
ACPP	3	1	8	1	1	5	3	5	4	1	1	13
ACKR4	0	0	0	0	0	0	0	0	0	0	0	0
NPHP3	0	0	0	0	0	0	0	0	0	0	0	0
UBA5	0	0	0	0	0	0	0	0	0	0	0	0
TMEM108-AS1	0	0	0	0	0	0	0	0	0	0	0	0
CDV3	144	175	163	191	174	255	386	410	165	283	323	1030
TOPBP1	565	294	337	546	218	265	1199	525	224	688	599	1339
TF	24	17	7357	47	241	7096	86	110	3704	56	282	48266
SRPRB	231	362	574	311	221	323	613	690	345	446	624	6188
C3orf36	0	1	1	0	1	0	0	1	0	0	0	0
