Gene	1861_granule	1862_granule	1996_granule	1859_basket	1860_basket	1640_basket	1992_astrocyte	1993_astrocyte	1327_purkinje	1329_purkinje	1639_purkinje	1471_purkinje	1472_purkinje
Mir7034	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspb1	0	0	0	0	1	2	0	0	1	0	0	0	0
Srrm3	4824	4291	5000	3595	3703	4583	47	105	4516	3648	5862	872	662
Dtx2	275	247	384	193	210	218	555	589	277	193	290	47	57
Upk3b	0	0	0	0	0	0	0	2	0	0	0	0	0
Ssc4d	1	5	3	7	8	7	10	7	10	3	10	2	0
Zp3	5	18	4	1	0	0	1	0	7	2	2	1	1
Lrwd1	190	188	239	192	147	152	215	207	63	88	121	16	29
Upk3bl	4	4	3	4	5	8	1	3	36	31	6	0	1
Rasa4	363	215	264	858	905	1041	103	43	635	407	1091	152	142
Alkbh4	14	14	12	26	12	16	34	7	20	10	63	1	12
Polr2j	29	18	43	32	48	47	37	27	17	8	30	6	3
Mir7035	0	0	0	0	0	0	0	0	0	0	0	0	0
Orai2	876	794	564	778	782	393	175	126	3844	3019	2097	621	675
Sh2b2	23	31	21	43	28	26	660	846	17	10	22	4	0
Mir721	0	0	0	0	0	0	0	0	0	0	0	0	0
Myl10	3	1	0	0	1	0	1	3	1	0	0	0	0
Ift22	74	31	69	30	18	57	30	50	7	11	16	1	2
Fis1	401	301	670	383	493	658	1059	1021	150	66	363	50	27
4933404O12Rik	77	124	57	128	134	100	247	240	34	67	90	4	14
Serpine1	1	1	0	15	1	0	0	1	15	13	3	2	2
Ap1s1	123	61	62	48	56	86	96	94	64	41	90	10	16
Znhit1	42	27	33	46	73	57	71	27	448	522	79	0	17
Mir702	0	0	0	0	0	0	0	0	0	0	0	0	0
Vgf	0	3	2	13	28	8	0	0	0	0	4	1	1
Plod3	52	60	145	82	72	121	261	179	57	48	162	21	18
Trim56	0	0	0	0	0	0	29	10	2	0	0	0	0
Slc12a9	406	342	302	326	343	223	226	190	117	96	165	20	17
Ache	201	202	227	195	167	208	65	79	29	28	308	7	19
Srrt	639	496	827	746	738	702	2127	2324	762	538	1320	192	215
Ufsp1	29	20	14	27	45	21	1	8	2	0	9	0	0
Trip6	51	76	34	114	92	109	180	94	25	6	28	7	1
Mir8116	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir7036	0	0	0	0	0	0	0	0	0	0	0	0	0
Epo	0	0	0	0	0	0	0	0	1	0	0	0	0
Zan	7	11	11	28	28	11	13	40	80	44	36	6	8
Tfr2	30	29	22	31	22	40	1	1	7	6	19	0	0
Fbxo24	43	10	10	3	13	27	76	64	45	56	79	5	16
Mospd3	121	78	134	185	159	164	234	246	102	43	94	32	13
Actl6b	839	492	644	577	661	702	26	24	70	69	203	17	25
Gnb2	15	65	70	38	62	45	209	201	3	3	12	3	0
Gigyf1	120	102	138	86	86	134	358	165	31	14	91	6	2
Pop7	5	10	4	6	31	5	0	4	1	2	0	0	5
Pcolce	1	4	17	3	2	17	35	66	11	7	25	2	3
Mir6418	0	0	0	0	0	0	0	0	0	0	0	0	0
Sap25	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrch4	0	0	0	0	0	0	0	0	0	0	0	0	0
Irs3	0	1	0	1	0	0	4	0	1	0	2	0	0
Nyap1	71	52	102	130	123	104	117	17	115	83	150	9	13
Agfg2	107	146	190	167	166	241	553	632	1317	744	2044	310	191
Gm20605	0	0	0	1	0	0	0	0	0	0	0	0	0
Pilra	0	5	0	1	9	2	2	2	3	4	2	0	0
Pilrb1	0	0	0	0	1	0	0	2	2	1	0	0	0
Mepce	42	22	60	49	23	52	102	152	39	46	62	11	25
Ppp1r35	28	30	20	25	23	19	19	6	9	14	12	1	7
Pilrb2	0	0	1	1	0	0	18	8	1	0	0	0	0
Zcwpw1	43	36	34	27	52	81	179	157	44	27	75	5	2
Azgp1	2	3	0	1	1	1	1	1	4	0	2	0	0
Gjc3	134	132	97	72	130	265	15488	18099	32	16	92	1	1
Cyp3a13	4	3	9	16	13	3	662	771	4	4	3	1	0
Smok3a	1	1	1	1	1	1	0	1	0	3	1	0	0
Smok3b	0	0	0	0	0	1	0	0	0	1	0	0	0
Smok3c	1	3	0	7	5	7	1	0	16	8	15	1	1
Zscan21	698	435	374	491	427	422	360	457	128	97	263	24	39
Zkscan1	921	700	845	994	1202	1237	800	893	387	246	660	83	89
Gal3st4	3	25	31	65	67	90	52	56	8	11	49	4	4
Cops6	28	48	40	84	44	29	21	43	49	14	71	11	7
Lamtor4	53	78	51	129	162	214	43	19	47	35	133	8	20
Mir25	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir106b	0	0	0	0	0	0	0	0	0	0	0	0	0
Taf6	227	304	163	263	211	264	171	139	107	47	222	32	28
BC037034	172	219	125	318	210	196	303	223	187	267	222	48	64
Nxpe5	7	0	4	11	5	9	5	12	13	19	17	1	0
Mcm7	118	77	114	75	54	90	40	20	33	51	74	10	13
6330418K02Rik	11	5	12	24	19	21	13	13	17	6	4	4	0
Ap4m1	22	27	85	38	40	81	164	25	18	10	124	5	9
Mblac1	34	14	21	25	52	33	1	44	7	0	1	6	0
Cnpy4	51	113	121	71	56	62	165	147	37	40	100	8	17
Mir93	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpc2	0	0	1	52	106	85	45	68	1	0	16	0	0
Zfp157	684	916	900	1475	1596	1602	431	947	810	564	933	147	119
A430033K04Rik	1071	435	475	365	304	446	117	204	135	78	210	29	15
Zfp68	461	295	468	431	637	688	268	343	164	78	307	33	18
1700123K08Rik	4	9	5	9	15	22	27	24	2	2	10	1	0
Gm5294	0	0	0	0	1	0	0	0	0	0	0	0	0
Pdgfa	110	113	93	4	8	7	27	77	94	30	149	24	10
Dnaaf5	125	133	265	167	162	271	321	291	92	53	386	35	18
Sun1	891	681	885	835	731	885	919	1025	643	333	881	109	103
Get4	181	174	296	162	146	239	138	211	61	32	203	20	18
Adap1	1542	1381	1150	685	763	841	49	24	606	489	978	112	150
Cyp2w1	1	15	0	0	1	1	1	0	5	5	0	0	0
Cox19	95	33	30	44	54	40	76	37	69	40	110	13	26
Gper1	0	0	0	0	0	0	0	0	0	0	0	0	0
3110082I17Rik	365	219	271	169	219	378	416	407	90	60	142	13	13
Mir339	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpr146	0	0	0	0	0	0	0	0	0	0	0	0	0
D830046C22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
C130050O18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfand2a	62	76	167	88	128	196	203	149	65	38	197	10	26
4930500L23Rik	47	10	1	3	3	0	1	2	4	2	0	0	0
Uncx	125	162	214	2	3	2	0	3	4	2	21	0	0
Psmg3	39	5	8	18	23	19	3	1	5	1	24	3	0
Tmem184a	1	1	1	0	6	2	0	1	3	1	1	0	0
Ints1	149	94	266	152	188	176	477	346	131	108	385	33	43
Mafk	5	0	4	5	10	17	34	35	7	6	31	4	8
Mir7037	0	0	0	0	0	0	0	0	0	0	0	0	0
Elfn1	6	6	3	34	26	21	12	3	9	3	181	0	1
Nudt1	4	7	8	5	8	24	64	11	12	23	25	2	4
Ftsj2	10	54	20	11	25	32	8	6	9	5	25	3	1
Eif3b	160	148	198	201	218	308	317	205	173	82	483	52	48
Mir7038	0	0	0	0	0	0	0	0	0	0	0	0	0
Grifin	0	0	0	0	0	0	11	19	3	0	0	0	0
Lfng	5	0	3	2	2	0	1320	1288	0	2	4	0	0
Brat1	98	116	104	136	225	124	102	364	102	110	202	31	24
Iqce	265	340	467	331	402	626	1335	1359	502	258	884	104	82
Amz1	4	2	14	163	114	116	81	88	181	155	193	22	38
Foxk1	553	529	784	529	583	612	1412	895	1304	697	2372	276	248
Papolb	0	0	0	0	0	0	0	0	0	0	0	0	0
Radil	825	662	761	682	646	622	304	216	269	188	351	47	56
Wipi2	509	528	842	418	640	616	1031	942	223	98	435	67	33
Slc29a4	553	583	583	15	6	13	9	2	16	20	77	2	1
Fbxl18	105	90	148	89	51	96	215	226	70	68	217	23	19
Actb	715	490	122	496	544	664	456	624	178	141	458	43	53
Fscn1	2	1	4	55	51	77	84	87	6	3	4	1	1
Zfp12	252	159	323	159	224	314	124	214	190	159	412	39	54
Spdye4a	8	12	5	14	16	4	1	3	30	28	8	0	1
4930448H16Rik	2	3	0	0	3	0	3	0	5	4	5	4	1
Spdye4b	2	4	4	5	7	5	6	9	14	11	10	3	4
Rbak	177	160	158	247	144	152	145	105	61	30	152	10	19
Rbakdn	0	0	0	1	0	0	0	0	1	0	0	1	0
Grid2ip	59	20	44	17	14	23	131	117	5950	3306	7975	1399	1323
0610040B10Rik	7	6	8	8	9	20	20	15	5	13	24	4	3
Zdhhc4	143	102	186	172	190	259	137	240	106	24	306	29	17
E130309D02Rik	101	62	128	120	107	124	103	82	31	43	118	10	16
Kdelr2	446	167	261	350	304	372	227	167	100	84	250	21	25
Daglb	1312	882	1139	826	753	884	484	379	381	250	573	78	64
Fam220a	316	137	220	237	181	220	171	131	431	213	526	113	97
D130017N08Rik	34	10	30	17	34	46	68	45	30	8	85	3	4
Usp42	298	266	334	336	431	490	337	312	247	193	393	46	22
Aimp2	52	60	51	99	50	57	92	63	46	35	93	10	14
Eif2ak1	851	574	835	699	742	773	517	561	428	207	892	144	83
Ankrd61	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccz1	801	495	741	717	889	906	582	490	695	450	1327	175	156
Tecpr1	933	719	1544	272	265	348	1289	1518	323	146	668	78	49
Bri3	22	35	62	80	80	100	212	162	47	4	36	7	5
Bhlha15	7	4	5	0	3	3	44	63	2	3	5	0	2
Gm15708	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmr	0	0	0	0	0	0	0	0	0	1	3	0	0
Nptx2	0	0	1	0	1	2	2	1	26	89	14	0	0
Tmem130	398	388	512	561	585	624	60	18	89	84	304	18	9
Mir7039	0	0	0	0	0	0	0	0	0	0	0	0	0
Kpna7	11	8	3	7	9	0	3	16	21	21	7	0	1
1700018F24Rik	2	0	0	0	2	0	0	0	0	0	0	0	0
Gm4871	0	2	0	0	0	0	0	0	0	0	0	0	0
Pdap1	103	127	165	142	167	170	137	182	44	32	122	9	14
Cpsf4	225	239	208	195	213	170	110	130	160	82	178	30	39
Bud31	221	192	188	249	201	200	234	148	107	65	208	12	14
Ptcd1	651	1051	499	524	505	515	422	436	239	133	292	47	65
Arpc1b	45	3	39	20	18	26	55	50	1	6	12	0	1
Zkscan5	205	85	114	169	146	184	394	243	142	73	239	26	36
Atp5j2	231	160	204	354	339	334	295	154	100	104	500	35	51
Zkscan14	48	25	49	37	61	43	31	34	47	8	53	15	3
Zfp655	907	676	603	859	1001	1043	441	661	438	197	671	84	48
Zscan25	54	5	57	50	65	63	53	73	58	18	88	17	4
Cyp3a16	5	5	2	5	5	3	4	7	14	8	1	0	0
Cyp3a41b	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp3a41a	1	0	2	0	2	0	3	11	13	6	2	0	1
Cyp3a44	6	3	0	4	3	5	0	3	8	7	4	0	1
Cyp3a11	3	4	1	2	1	2	0	6	6	7	1	0	1
Cyp3a25	2	1	0	2	7	2	1	2	6	13	4	0	1
Cyp3a59	3	0	1	4	4	2	2	15	16	8	6	0	0
Rnf6	211	122	208	324	292	276	136	280	187	122	257	25	20
1700001J03Rik	1	3	5	8	1	3	10	44	1	6	4	0	1
Gm6370	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm3402	0	0	0	0	0	0	0	0	0	0	0	0	0
4930449I24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6408	1	0	1	1	0	4	0	0	1	0	0	0	0
Gm3404	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm3415	0	0	1	1	0	0	1	2	1	2	1	0	0
Gpr12	0	0	0	151	134	158	1	1	38	28	6	3	3
Usp12	867	765	1213	344	329	444	612	864	174	121	466	47	40
Rpl21	76	37	67	145	97	106	248	127	43	20	69	13	4
Rasl11a	0	0	0	3	1	5	90	153	6	15	3	0	1
Mtif3	90	48	55	51	55	52	25	37	27	25	44	2	5
Gtf3a	17	1	36	34	16	35	22	7	7	2	51	2	1
Gsx1	0	0	0	0	0	1	0	0	1	0	0	0	0
Polr1d	895	627	558	357	554	397	531	290	191	87	336	24	21
Cdx2	0	0	0	0	1	0	0	0	1	0	0	0	0
Urad	0	1	1	1	0	1	1	2	3	1	1	0	0
Pdx1	3	0	1	1	1	0	1	0	3	2	0	0	0
2210019I11Rik	4	3	5	14	6	4	6	15	29	18	2	0	3
Mir7k	0	0	0	0	0	0	0	0	0	0	0	0	0
Flt3	215	155	198	2601	2834	3644	66	38	10282	7951	10198	1739	1410
D5Ertd605e	31	17	28	5	6	10	3	1	1	0	4	0	0
Pomp	193	110	204	265	293	279	303	226	125	97	228	41	26
Slc46a3	152	149	162	131	210	281	120	66	110	47	276	36	31
Ubl3	2033	1663	1618	1167	1317	1877	748	689	1824	1123	3322	362	323
2210417A02Rik	0	0	0	0	1	0	0	0	0	0	0	0	0
4930505K14Rik	3	1	0	6	0	0	1	1	4	10	4	0	1
8430423G03Rik	0	0	0	0	0	0	0	2	0	0	0	0	0
5930430L01Rik	34	111	64	79	30	54	377	283	9	6	40	4	1
Gm15408	0	1	3	6	13	6	67	30	2	4	5	2	1
Gm8615	0	0	0	0	0	0	0	0	0	0	0	0	0
Hmgb1	113	130	135	78	123	69	230	210	54	31	63	7	3
Alox5ap	3	5	2	5	2	2	5	5	20	8	25	4	0
Uspl1	981	1052	830	920	930	849	505	356	848	530	1440	205	203
Tex26	13	8	18	8	13	4	81	159	18	10	25	6	2
Gm15997	8	13	5	17	31	7	62	134	40	31	25	7	2
Hsph1	136	122	220	375	437	410	1166	2356	475	375	1220	127	139
Gm21221	1	1	1	3	3	1	1	5	0	4	0	0	0
4930500F04Rik	4	3	0	2	0	1	3	4	16	2	1	2	0
Brca2	452	461	376	682	694	693	199	366	186	112	279	35	33
Zar1l	1	2	2	1	3	0	5	4	5	1	0	0	0
N4bp2l1	1197	920	1392	1994	2457	2421	879	546	959	380	1201	189	144
Gm5	1	0	9	3	2	8	64	8	1	1	7	0	0
N4bp2l2	2496	2285	2111	2606	2700	2765	1190	1779	1307	869	2022	262	229
Kl	10	11	7	13	23	19	8	23	37	23	18	3	5
Gm3704	42	24	41	52	22	36	59	118	10	9	9	1	1
Vmn2r18	3	5	2	1	14	3	17	3	8	5	2	2	0
Etv6	2719	2030	2539	4971	5470	6362	5316	5533	2942	1481	5223	607	461
Osbpl3	1667	1691	2156	2971	2836	3570	1019	897	51	35	168	1	2
Exoc4	22680	19154	17711	17370	21890	24828	10720	13698	11424	7719	12938	1711	1305
Umad1	4148	3857	3313	5430	6335	7780	1691	1815	2645	1557	3812	494	314
Ano2	66	53	13	92	84	24	29	66	123	114	27	8	10
Shq1	842	551	444	242	370	516	251	371	318	192	532	52	52
Abcc9	6	9	3	19	9	18	1	7	43	39	50	4	8
Pon3	2	2	4	4	4	6	52	57	41	9	5	5	3
Thsd7a	174	57	65	15167	17522	19060	1336	2693	29787	20432	21373	4684	4742
B630005N14Rik	2508	2181	1577	2102	2241	2473	906	939	1234	673	1325	180	123
Mdfic	8	10	5	20	31	25	82	58	44	32	9	3	4
St7	6955	5600	5751	4221	4878	5899	2420	2857	2514	1702	4385	449	447
Slc13a1	162	266	178	19	19	12	231	289	29	24	17	2	4
Ankrd7	75	27	13	9	18	4	2	11	14	11	7	0	0
Cped1	32	27	12	65	91	86	113	63	114	85	97	8	5
Plxna4	3809	2820	4770	34718	43535	54584	367	364	8415	4773	14858	1680	1136
Klhdc10	6585	6350	5152	6138	6519	7697	1519	1771	2227	1571	3765	374	329
Calu	744	693	684	1204	1074	1231	531	422	500	406	830	97	124
Mkln1	7249	6270	5091	6462	7683	7780	3611	4798	3149	1987	5103	673	509
Mir1950	71	77	26	70	92	68	189	326	65	73	38	4	7
Hipk2	1448	902	1251	12665	14163	19323	5730	6215	12017	6812	14516	2195	1807
Cntnap2	99752	86522	61341	28603	33894	33692	685	870	53397	26637	53206	7858	4589
Scrn1	3641	3087	3958	669	725	888	3407	2957	418	308	1046	112	99
Gm6559	3	0	4	2	1	1	1	1	10	5	0	2	0
Ccser1	47265	40997	30398	56527	65474	71348	1213	1528	21149	11745	20180	2923	1801
Grid2	40047	29922	24949	423274	512703	551477	240667	326255	1907343	1098840	1114542	255843	167321
Snca	3569	2954	1575	642	699	498	27	62	25	19	103	1	4
0610030E20Rik	291	293	346	501	488	447	465	745	137	93	207	23	34
Ctnna2	46124	38409	34014	15251	17952	20815	919	1693	20013	11314	26070	3279	2010
Lrrtm4	2690	1790	1003	31085	33554	33239	152	247	28469	21231	30696	3916	3087
Fbln2	2	0	2	24	19	16	5	2	6	4	2	0	0
Exoc6b	10284	8882	7818	9929	11690	13593	4454	4859	29124	16418	26523	4835	3464
Frmd4b	272	468	482	3056	3485	4067	132	158	356	248	1960	58	53
Fam19a1	38	38	11	368	294	352	21	57	155	122	1926	7	14
Cntn6	35873	34990	25685	7518	9161	9547	267	444	8951	5732	6357	1084	832
Cntn4	6011	4484	3869	90466	105069	114350	324	401	17001	9758	13096	2404	1577
Slc6a1	184	49	209	17257	18751	19770	14466	16401	259	233	798	50	42
Grm7	1052	1041	145	7039	8662	9459	328	769	85736	49843	66323	13813	9162
Mtmr14	288	523	716	362	393	566	806	572	363	178	808	79	61
March8	1344	1606	1347	1752	1892	2051	830	655	2821	1436	3411	528	363
Vmn2r23	1	9	2	8	5	4	5	7	14	16	3	1	1
Wnt5b	299	165	200	354	338	465	194	194	181	80	426	37	20
Gm4736	51	31	23	52	59	34	23	48	206	145	40	7	7
Tspan11	8	7	11	49	38	33	13	28	8069	5867	4167	1356	1310
Klra22	0	0	0	0	0	0	0	0	0	0	0	0	0
Clec2g	6	5	11	6	8	7	17	6	10	7	2	3	1
Klra6	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir7649	0	0	0	0	0	0	0	0	0	0	0	0	0
Klra19	0	0	0	0	0	0	0	0	0	0	0	0	0
Klra15	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15987	0	0	0	0	0	0	0	0	0	0	0	0	0
Dyrk4	15	8	10	19	21	8	6	8	59	24	5	1	5
Plekha5	12160	11698	13587	6356	7004	8509	2549	2970	4529	2736	9105	907	658
Slco1c1	8	0	8	14	12	34	37	54	45	34	35	2	2
Ptpro	57	21	33	94	96	127	779	741	127	88	87	4	10
Lmo3	50	50	23	65	102	46	34	86	286	277	281	38	36
Vps50	3843	2792	2343	3258	3876	3733	2032	2038	1165	789	2140	209	222
Ppp1r9a	7515	6273	6575	6557	7633	8479	7149	7581	1845	1246	3583	404	331
Sgce	2957	2956	2512	3824	4026	3726	2548	5194	770	656	869	97	123
Dync1i1	14403	12273	12705	21705	26001	27572	183	305	23347	12509	24037	4177	2915
Slc25a13	37	51	59	266	311	206	136	101	399	272	1372	56	48
Rpa3	19	30	77	74	137	94	35	36	18	22	42	8	6
Col28a1	26	26	37	51	66	52	13	35	71	68	39	4	7
C1galt1	231	235	290	271	342	287	160	98	50	41	138	10	2
Ica1	4942	4906	5061	3497	3839	4481	86	53	3423	2073	5356	696	558
Nxph1	442	201	363	1749	2358	2822	43	159	690	554	3180	90	99
Glcci1	4549	4378	2884	1901	2810	2668	395	388	884	512	1352	129	107
Phf14	8609	8385	5112	9919	11717	12611	3560	5444	8464	5024	7588	1176	946
1110019D14Rik	410	468	265	382	525	526	526	548	546	477	679	81	83
Foxp2	204	201	45	292	325	234	537	557	25170	14154	17020	3729	2473
Met	14	20	3	77	85	60	36	85	158	262	103	38	99
Cttnbp2	509	469	424	10864	12459	16589	600	904	31228	19113	37300	5551	4553
Cftr	62	52	18	71	90	27	27	77	106	90	50	13	11
Asz1	12	26	9	8	14	11	4	6	31	30	9	1	0
4930524B17Rik	3	2	0	3	3	2	1	3	2	4	4	1	1
Kcnd2	437789	365252	277201	5265	7334	13208	1166	1362	17033	9866	29371	2602	1795
Ptprz1	932	495	703	29194	34595	38646	50065	61021	67	42	436	3	4
Cadps2	68356	62765	53284	321	326	1302	523	487	198	150	1300	6	10
Wasl	2452	1700	1727	1876	2114	2507	1599	2290	1518	986	2231	325	243
Iqub	298	222	206	237	320	395	75	106	110	92	122	8	22
Gm20756	7	5	7	21	29	15	17	36	74	80	20	6	5
Grm8	204	135	116	32933	40316	38063	117	497	458	358	4804	27	27
Pax4	0	1	2	0	1	1	0	0	1	1	0	0	0
Snd1	8970	9058	9364	3790	4495	5668	3920	3875	2337	1253	3927	509	336
Ahcyl2	4906	4596	4023	10392	12965	13220	5523	6883	4540	2869	7544	947	774
Ube2h	6427	5658	4777	4017	5279	4995	3713	4486	2137	1394	3947	402	396
Smo	16	12	30	134	105	145	1422	1217	107	79	146	21	29
Kcp	5	2	4	2	5	4	4	6	4	6	5	1	1
Nrf1	2965	3232	2689	2376	2659	3046	3861	5189	1161	704	1945	240	213
Cep41	3	12	30	84	68	102	329	268	22	26	38	6	11
2210408F21Rik	624	575	329	1626	1575	2083	3560	5782	1912	1223	3595	302	225
Copg2	6056	4705	3739	7336	7459	5908	1146	1726	1927	1234	2865	297	253
Lncpint	10833	9621	10885	11420	12941	16055	15284	15811	6975	4320	15255	1520	1391
Chchd3	5933	5750	5102	7511	8830	11138	4280	5592	7301	4556	10198	1296	935
Lrguk	12	128	20	45	25	32	158	225	34	27	50	12	3
Cnot4	9086	8313	6148	6653	7939	7946	3448	4500	6704	4300	7270	1105	935
Tmem140	3	2	8	2	6	2	15	2	6	3	2	0	0
Mtpn	817	602	474	842	960	892	229	182	350	262	521	58	48
1810058I24Rik	14	42	78	48	73	61	96	65	16	35	51	0	12
Cald1	1368	1294	1642	1156	1052	996	534	632	24	26	78	1	8
Chrm2	312	50	78	147	202	46	6	16	32	27	567	2	1
Creb3l2	89	143	131	118	76	151	1095	1313	835	354	937	159	90
Dgki	9396	8785	8675	35155	37250	39953	1405	2020	44784	27097	45290	7886	5905
Trim24	1267	1539	1328	1718	1654	2015	1478	1323	2629	1280	2972	488	379
1110001J03Rik	265	147	89	233	299	325	29	71	28	17	53	17	4
Ttc26	143	59	141	151	192	206	288	458	77	65	129	25	22
Clec2l	193	164	149	569	532	592	27	83	3052	5739	2271	394	603
D630045J12Rik	3000	2755	3295	2259	2605	3787	511	671	132	91	1094	33	23
Svopl	110	43	71	84	51	77	73	66	121	74	146	25	13
Adck2	170	187	215	324	364	369	235	254	155	88	307	36	29
Tbxas1	47	106	50	1291	1437	2208	102	42	288	88	315	42	18
Kdm7a	2574	1457	1512	1653	1827	1939	1164	899	674	391	1323	162	133
Braf	9298	9185	7484	7342	8534	9078	3765	4009	5893	3529	7812	1210	953
Mgam	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem178b	3281	3780	3880	2848	3186	4002	2088	2287	4119	2225	6922	850	635
Agk	2852	2800	1605	1589	1944	1990	551	780	1097	761	1480	205	153
Gm5409	0	1	0	0	1	0	0	0	0	0	1	0	0
Tpk1	4875	3969	3058	682	768	978	1824	2232	3378	1793	3633	621	290
Zfp398	1054	1222	1040	1711	1685	2274	317	271	556	314	1137	107	68
Ezh2	1799	1811	1521	1927	2412	2300	1109	1238	993	550	1303	210	124
Igf2bp3	1976	1927	1954	2605	2932	4401	734	911	908	459	1371	215	124
Sspo	10	7	26	27	15	22	17	9	6	7	5	0	1
Stk31	25	18	13	24	30	6	19	36	40	28	21	6	4
4921507P07Rik	6	19	13	19	5	7	12	0	1	9	17	0	9
5430402O13Rik	84	42	52	54	56	109	198	206	24	18	51	3	2
Hoxaas2	0	0	0	0	0	1	0	0	0	0	0	0	0
Skap2	81	62	63	61	53	79	2406	2332	67	44	197	8	4
Jazf1	4622	5004	4673	3020	2872	3478	714	849	69	39	1415	11	8
Hibadh	4318	3430	2939	3927	4441	4506	2403	2704	1569	1004	3369	363	308
9430076C15Rik	1087	1319	1624	74	109	208	88	85	16	16	43	3	0
Chn2	81575	73212	79325	89	200	1688	785	732	144	98	2018	5	6
9130019P16Rik	2148	2245	2979	54	77	87	51	97	47	45	77	5	7
Creb5	1228	1160	2105	79	129	231	924	683	24	7	73	2	2
4921529L05Rik	3	2	0	0	3	0	2	0	10	1	4	1	1
Gars	1044	598	820	3358	3534	4207	257	611	389	188	1130	94	67
Fam188b	123	153	274	362	328	411	1362	1865	634	300	501	86	52
Pde1c	17993	18903	16156	1593	2150	619	417	599	7051	5685	4517	1007	939
Ccdc129	8	6	9	9	13	7	3	27	69	48	8	3	3
Nt5c3	837	566	552	573	782	956	487	458	550	457	872	123	78
Avl9	1222	976	791	1011	1266	1302	556	380	636	466	928	114	100
Vopp1	1960	1381	1239	2156	2754	2534	244	616	1247	1032	1482	209	202
Herc3	5403	5732	5246	5553	6368	6743	876	1032	5322	3789	6195	870	797
Fam13a	1937	2278	2400	2947	3318	3847	353	650	1199	834	2028	222	191
Gprin3	1904	1793	1692	115	130	110	98	86	265	243	650	33	27
A530053G22Rik	27	22	3	28	21	26	13	18	72	59	21	3	1
Mmrn1	2	3	2	0	5	0	1	5	14	62	2	2	6
C130060K24Rik	15	9	10	22	19	10	15	22	30	28	25	3	6
Prdm5	366	223	338	849	1149	1182	3222	3775	1270	662	1056	212	136
Hpgds	238	123	122	102	151	113	26	73	167	56	111	17	6
Gng12	413	306	226	2411	2880	3476	3999	5812	76	48	124	6	5
Il12rb2	717	959	448	548	786	625	116	210	269	189	374	60	47
Rpia	334	398	276	549	589	534	144	47	303	257	483	40	74
Polr1a	206	258	511	302	316	342	379	296	309	229	671	85	77
Atoh8	9	10	58	2	1	2	465	277	8	6	1	0	0
Chmp3	1687	1523	1173	1297	1378	1389	526	586	599	414	930	115	81
Rmnd5a	2625	2990	2075	2442	2620	2671	1086	980	1321	917	2044	211	159
Tcf7l1	82	77	93	39	30	58	13817	13084	205	142	237	39	35
Suclg1	791	889	717	596	691	846	1830	2448	411	380	974	82	111
Dnah6	52	37	14	81	74	36	21	85	5325	3810	4039	790	702
Tgoln2	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcmf1	2125	2437	2434	2031	2486	2599	2082	2353	1163	571	2096	265	248
Tgoln1	516	445	415	534	823	710	228	149	175	103	175	24	38
Reg3a	0	0	0	0	0	0	0	0	1	1	0	0	0
Tacr1	7	8	5	30	31	10	19	15	39	26	7	4	3
Eva1a	18	9	21	12	8	16	2555	4085	23	19	44	1	3
Dguok	513	632	635	612	654	857	679	288	300	221	770	68	74
M1ap	9	12	6	17	23	10	19	51	34	26	9	0	3
Atp6v1b1	34	58	30	66	53	72	23	56	477	226	621	101	88
Dysf	17	21	6	45	28	14	9	20	225	184	450	26	55
Cct7	306	227	311	326	316	290	234	88	241	163	375	45	48
Alms1	9204	8212	6453	4231	5144	5154	1637	2590	1463	892	1627	193	171
Sfxn5	749	666	960	2426	2778	3641	31110	30151	3405	1999	6317	786	656
Emx1	2	3	2	20	26	13	65	35	5	8	24	2	3
Add2	2273	2371	2636	2123	2073	2252	37	38	35	46	1126	1	6
Snrpg	206	86	98	225	250	164	45	29	37	30	93	8	6
Anxa4	43	33	31	88	74	70	280	145	42	23	23	13	3
Tgfa	160	193	275	29	54	60	58	96	35	22	42	0	2
Aak1	16485	14109	13913	12304	13856	15388	4658	6206	5749	3686	11322	1311	1334
Antxr1	47	18	46	69	74	104	3810	4575	65	50	332	8	4
1810020O05Rik	3	8	3	13	12	9	10	75	44	26	37	5	5
Mgll	1665	1488	2551	50	88	107	1362	1152	22	17	117	0	2
Eefsec	1822	1421	1964	1413	1532	2171	1101	960	1528	965	2668	321	292
Ruvbl1	237	144	221	121	143	225	138	113	169	72	336	52	20
Podxl2	314	387	576	244	240	406	6	42	391	199	618	84	81
