Gene	628_nd1_gfp	629_nd1_gfp	630_nd1_gfp	641_pcp2_gfp	642_pcp2_gfp	643_pcp2_gfp	644_pcp2_gfp	796_sept4_gfp	797_sept4_gfp	798_sept4_gfp	799_sept4_gfp	952_glt25d2_gfp	953_glt25d2_gfp	942_glt25d2_gfp	1195_ntsr1_gfp	1196_ntsr1_gfp	1197_ntsr1_gfp	SRR1647854_mo_excit	SRR1647855_mo_excit	SRR1647856_mo_pv	SRR1647857_mo_pv	SRR1647858_mo_vip	SRR1647859_mo_vip
Wfdc15b	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	0	10	8	0	1	4	2
Wfdc12	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Kcns1	0	0	0	0	0	0	0	0	0	0	0	12	51	36	9	23	19	171	202	303	450	23	12
Wfdc5	0	6	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	1	2	3	0	0	0
Wfdc15a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Svs2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Svs5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Svs4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Svs6	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Svs3a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slpi	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0
Svs3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Mir7678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbpjl	0	0	0	0	0	0	0	0	0	0	0	9	4	0	0	0	0	21	15	0	3	3	1
Sdc4	69	46	73	42	42	22	30	18090	11891	14423	14412	66	49	57	1	2	2	23	33	23	51	92	40
Matn4	0	0	0	3	3	2	4	17	7	13	10	13	9	9	1	2	1	91	26	6	22	26	18
Dbndd2	288	819	279	308	434	285	459	362	313	157	255	216	289	344	65	50	93	614	824	474	787	888	597
Sys1	121	166	255	48	105	69	97	69	125	154	208	90	107	79	32	27	51	267	318	414	620	814	533
Trp53tg5	61	43	37	34	12	2	17	2	17	2	29	18	33	49	9	4	10	63	78	102	174	149	115
Wfdc2	0	0	0	0	0	0	0	0	0	0	0	6	0	10	1	0	0	9	15	2	5	0	1
Wfdc6a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eppin	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spint3	0	0	0	1	1	1	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
Wfdc8	1	2	0	4	1	1	3	0	0	0	1	1	2	1	1	0	0	0	0	0	2	4	2
Wfdc6b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Pigt	223	591	448	209	456	286	420	2270	1732	1788	2572	312	403	440	83	78	128	764	843	821	1736	1850	926
Spint5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wfdc9	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Wfdc3	3	1	1	0	5	0	0	0	2	0	1	16	80	13	5	5	5	44	40	21	44	22	14
Wfdc11	0	0	0	0	2	3	1	3	2	4	5	0	0	0	0	0	0	0	1	2	1	4	1
Wfdc16	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Wfdc13	0	1	0	1	0	0	1	0	0	0	0	2	3	0	0	0	0	0	0	0	2	0	1
Wfdc10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spint4	1	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	4	5
Ctsa	308	437	549	67	90	53	91	963	908	541	1274	178	345	207	74	62	84	498	587	1203	1944	1592	911
Tnnc2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	1	4	1	0
Zswim3	125	172	136	97	144	83	125	35	42	80	101	247	463	340	69	64	88	322	484	573	941	954	643
Spata25	0	0	0	1	0	0	0	0	0	0	0	0	4	6	0	1	1	8	6	7	17	10	7
Zswim1	21	64	89	29	32	19	50	39	33	14	2	20	82	39	25	16	37	98	138	192	297	423	245
Pltp	21	44	8	0	3	7	8	1474	1414	1433	1457	40	126	60	6	5	1	37	40	45	59	63	40
Acot8	230	386	341	26	81	28	63	136	33	83	78	118	118	124	30	26	35	297	368	569	889	1068	560
Neurl2	0	1	0	1	1	0	0	10	35	31	1	0	7	2	0	2	0	3	3	8	16	13	5
Snx21	182	167	277	92	136	86	114	9	59	22	35	126	133	195	25	34	43	407	536	763	1334	1039	643
Ube2c	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	4	10	5	3	3
Zfp335	922	1218	931	96	104	105	135	51	144	104	96	230	387	255	52	48	68	1210	1305	1763	2165	3152	1842
Slc12a5	4496	7063	5319	1778	3426	1641	2360	576	670	819	697	4049	6660	5773	873	1103	1713	6395	7520	7626	11318	9193	5751
Mmp9	27	0	9	0	0	0	1	0	2	0	0	1	4	3	1	0	2	2	4	15	24	13	16
Cd40	5	8	0	0	2	0	0	0	1	0	0	1	1	11	0	0	0	4	7	3	3	0	3
1700025C18Rik	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0
Elmo2	2083	2800	2740	214	313	252	435	7189	3694	4366	6522	903	1741	2214	257	230	284	4390	4992	2407	3050	5772	3191
Zfp334	350	711	512	19	57	42	32	178	140	101	40	169	347	205	62	52	94	510	732	629	877	1306	763
Ocstamp	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1
Zfp663	0	1	1	2	3	0	2	1	0	0	6	7	8	24	0	0	2	13	33	5	4	4	1
Trp53rka	31	22	19	2	14	9	10	107	60	17	53	29	19	57	8	6	5	55	74	79	142	175	76
Slc2a10	4	5	0	4	4	6	2	2479	3369	3627	4601	14	3	5	1	1	0	8	3	2	8	6	4
Sulf2	12	97	9	22	56	25	32	3	59	8	32	3168	4194	4208	192	172	263	2687	3282	7200	10240	11522	7782
Gm11468	0	1	0	3	7	5	1	2	2	0	2	27	0	36	2	1	1	18	15	24	40	4	5
5031425F14Rik	0	0	10	0	0	0	0	0	0	0	0	15	3	46	2	1	11	58	29	7	15	14	2
Mir6364	0	1	0	0	9	1	1	0	0	12	0	4	5	4	0	4	1	28	21	14	26	6	1
Trp53rkb	56	340	82	13	22	8	24	37	8	8	22	27	52	31	10	4	9	94	94	153	231	301	164
Cse1l	1798	2304	1912	573	940	744	862	517	518	764	926	1120	1031	1526	337	394	554	1230	1633	1606	2309	3745	2273
Znfx1	241	573	298	52	94	36	96	441	246	141	93	371	636	701	96	84	161	1154	1301	635	1096	1182	731
Snord12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx27	289	610	387	86	142	118	136	938	50	73	75	285	349	228	108	43	93	580	662	790	1046	1275	877
Zfos1	17	128	56	46	97	25	60	23	23	114	47	168	253	122	60	71	118	249	207	231	467	659	390
Ptgis	1	5	0	0	0	1	1	0	1	0	0	53	52	47	19	5	16	206	151	73	161	212	158
B4galt5	2946	3317	2601	1106	1975	1215	1493	328	224	403	253	1150	1422	1498	295	236	415	2073	2205	3590	5158	4480	3334
Slc9a8	1837	2259	1321	208	564	325	503	1565	996	1285	1794	533	650	815	175	172	306	1307	1449	3292	4734	4484	2791
Spata2	371	384	529	35	73	27	51	129	173	144	281	154	146	135	72	76	84	446	542	412	762	766	436
Ube2v1	395	552	480	66	123	71	134	277	171	194	121	335	290	304	99	69	130	617	800	751	970	1307	851
Snai1	0	0	0	1	1	0	3	3	2	4	2	10	2	0	0	0	0	0	0	3	2	2	0
A530013C23Rik	1	3	0	1	4	1	0	0	1	0	0	3	22	42	6	4	1	25	32	16	34	28	24
Cebpb	0	0	0	0	0	2	4	0	0	0	3	1	15	16	2	1	3	2	3	0	6	22	8
Tmem189	130	148	83	56	143	50	116	226	129	274	240	109	201	182	34	36	57	404	464	831	1311	899	490
Fam65c	2	5	5	0	3	4	5	0	0	1	14	5	2	21	1	2	2	13	6	13	30	26	21
Ptpn1	1192	1288	1246	1048	1903	1502	1733	500	383	326	277	1536	1721	2056	386	270	531	3151	3550	3306	5225	5556	3570
Pard6b	107	157	328	12	10	10	23	8	0	1	25	26	62	40	31	16	34	207	192	187	313	364	202
E130018N17Rik	0	0	0	0	1	0	0	0	0	0	0	2	1	1	0	0	1	2	1	1	3	2	1
Kcng1	0	0	1	0	0	0	0	0	0	0	1	168	276	261	7	9	6	176	180	24	64	14	13
Dpm1-adnp	48	59	39	8	4	18	10	20	10	25	8	83	47	89	13	14	19	80	81	105	95	177	90
Dpm1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mocs3	0	1	1	0	1	1	2	0	0	0	0	1	1	1	1	3	2	10	6	12	35	7	10
Adnp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir7004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sall4	4	2	2	2	1	0	0	0	1	2	1	3	13	0	4	0	0	1	9	0	1	8	2
1700017J07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AY702102	0	0	0	1	0	0	0	0	0	0	0	0	18	17	0	0	0	4	5	2	3	1	1
A630075F10Rik	0	0	0	3	1	5	0	0	1	1	0	62	10	26	3	0	0	16	30	11	25	17	2
Bcas1os2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pfdn4	148	115	121	18	44	16	49	126	85	54	39	58	90	134	29	18	37	279	306	455	750	719	485
Cyp24a1	0	0	0	0	0	1	0	0	0	0	0	0	1	3	1	0	0	1	3	4	3	2	3
Gm16796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930470P17Rik	0	0	0	0	2	1	0	1	0	0	0	152	12	39	1	0	1	6	3	0	2	3	3
1700028P15Rik	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
Cbln4	0	1	13	0	0	1	1	0	0	0	40	85	367	97	264	310	287	243	173	14	70	288	212
Fam210b	11	22	102	24	31	12	28	0	31	12	38	8	50	37	8	4	18	46	61	576	1039	411	280
Mc3r	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	1	0
Cass4	5	5	9	9	5	4	3	3	22	32	60	62	23	38	11	3	5	21	31	43	65	187	128
Fam209	3	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	4	8	11	17	3	4
Rtfdc1	239	327	320	21	60	53	41	106	115	176	223	198	203	186	53	36	74	431	554	578	1012	874	622
Cstf1	246	448	155	37	61	61	61	39	88	19	80	137	111	123	24	28	43	272	315	377	714	714	496
Gcnt7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2c	0	0	0	0	0	0	0	0	0	0	0	1	1	7	0	0	1	0	0	0	0	0	0
Spo11	0	0	0	0	1	1	2	1	0	0	0	0	2	1	0	2	1	3	2	0	2	3	0
Rbm38	111	51	28	3	9	14	2	15	18	0	0	19	3	12	1	0	1	38	37	38	59	491	260
Ctcfl	9	9	6	16	39	18	43	10	3	4	5	4	3	3	3	1	0	0	0	2	1	4	2
Ctcflos	0	0	2	5	7	13	16	1	0	1	0	1	1	1	1	1	1	1	2	1	2	13	5
Zbp1	1	0	2	0	2	0	2	0	0	1	0	1	0	0	0	0	0	3	1	1	1	3	0
Pck1	2	0	0	0	1	1	1	0	0	0	0	0	10	0	0	1	0	1	0	2	0	1	1
Pmepa1	50	201	74	57	88	51	38	84	150	278	237	673	894	889	196	103	175	2070	2562	611	1352	2953	1802
1700021F07Rik	0	0	0	0	0	2	0	0	0	0	0	8	12	0	0	0	0	0	2	0	1	1	0
Ankrd60	0	0	0	0	5	1	0	0	0	0	0	1	0	2	0	0	1	2	1	11	2	2	3
Ppp4r1l-ps	899	863	718	361	648	427	484	853	520	410	753	705	783	831	172	142	194	966	1078	1643	1709	2303	1762
1700010B08Rik	3	1	0	2	5	1	5	3	0	0	0	6	5	3	0	3	5	0	1	1	2	2	3
Mir6340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vapb	1353	2205	1156	391	674	445	515	329	479	579	398	908	882	1144	281	219	380	1806	2151	2197	3038	3323	2560
Npepl1	213	408	231	8	4	7	13	99	90	213	190	9	19	50	11	7	9	76	96	123	145	158	85
Stx16	1342	2000	1260	412	675	419	633	2479	1303	2123	1448	1288	1275	1290	409	396	563	1968	2363	2867	3998	4995	3970
Gm10714	1	0	1	2	8	7	6	6	5	2	1	8	122	4	4	3	8	2	2	9	4	12	5
Nespas	0	0	0	0	0	0	0	29	28	0	0	0	1	1	3	2	4	8	2	0	1	33	21
Mir296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Mir298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctsz	89	113	111	14	21	1	18	283	284	192	317	77	148	56	23	25	45	72	73	127	210	188	127
Nelfcd	109	96	196	54	61	46	68	72	97	131	102	54	95	79	11	19	27	274	251	446	557	716	510
Atp5e	73	70	41	25	43	33	42	12	4	68	23	28	46	37	15	9	17	105	102	234	556	654	474
Slmo2	78	131	202	59	86	49	86	243	278	183	273	141	147	163	32	35	41	141	176	356	638	463	337
Zfp831	0	1	0	3	0	4	4	2	13	12	68	2484	2816	3015	772	682	1071	2133	2071	177	412	393	193
Edn3	0	0	0	0	0	0	0	1	3	0	0	17	3	1	3	1	0	3	2	2	2	374	339
Gm14393	30	47	14	10	7	5	4	0	2	1	1	52	22	110	8	17	19	12	15	12	21	23	21
Gm6710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTTMUSG00000016609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm4724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Gm14430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Gm8923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2210418O10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14295	20	38	25	10	10	6	8	10	29	25	48	17	22	10	13	12	17	21	33	23	57	50	38
Gm14305	32	41	25	13	21	11	23	48	44	49	23	49	62	99	35	29	44	64	93	67	91	134	113
Gm14403	48	78	27	30	51	56	73	263	206	51	221	74	88	297	30	17	38	54	68	117	189	206	195
Gm14325	82	111	86	77	92	71	77	172	97	189	120	162	143	233	67	71	98	150	213	254	312	296	248
Gm14322	42	43	43	61	49	32	45	82	58	32	72	25	50	31	37	34	49	25	35	51	81	125	126
Gm14326	161	222	199	85	128	83	135	128	118	115	223	213	175	339	121	130	197	210	279	277	439	553	434
Gm14327	19	20	11	6	8	11	8	2	16	14	25	4	15	19	12	15	16	10	17	10	15	27	33
C330013J21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp931	45	50	23	61	91	31	70	119	104	236	118	197	212	258	47	38	47	59	71	75	128	177	117
Etohi1	101	177	138	169	251	185	189	622	192	269	306	280	274	347	99	101	112	132	171	134	230	348	262
Ppp1r3d	0	0	0	1	17	12	9	0	13	9	1	13	6	14	5	1	3	39	53	49	104	65	40
Fam217b	19	23	3	33	65	18	65	191	12	12	42	58	83	286	22	20	30	221	262	362	739	413	280
Cdh26	0	3	0	2	3	1	3	1	1	2	1	1	1	3	9	4	11	6	2	5	11	5	5
4930591A17Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mtg2	155	284	346	30	52	42	81	88	150	227	253	235	215	152	60	43	42	321	441	388	508	762	488
Lsm14b	713	735	619	92	94	72	66	178	124	90	117	200	380	391	70	66	112	869	1187	820	1087	1706	915
4921531C22Rik	51	144	63	5	11	8	15	11	15	0	1	40	29	28	12	16	15	53	77	94	149	136	73
Psma7	282	400	341	43	91	72	94	109	80	36	64	111	222	292	63	41	72	683	829	843	1462	2021	1279
Ss18l1	590	668	547	312	306	192	358	62	320	143	281	1034	1109	1035	225	184	278	1173	1315	1596	2044	3106	2034
Hrh3	13	102	7	46	116	45	93	0	0	0	1	190	383	427	18	16	23	441	506	1828	3902	2287	929
Osbpl2	1940	2476	1806	603	941	737	940	1122	877	1019	740	2241	1883	3108	346	258	435	1800	2476	2868	3875	3918	2828
Adrm1	81	123	100	5	19	18	23	24	6	18	11	27	26	34	11	5	13	203	240	323	418	776	413
Mir7005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gata5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Rps21	35	14	61	15	22	5	19	2	32	45	21	25	61	55	14	20	19	62	30	77	181	442	236
Mir3091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbbp8nl	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Cables2	301	346	423	31	25	21	47	103	41	60	47	166	306	204	64	44	100	904	1104	1966	2995	2488	1521
Gata5os	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Slco4a1	116	94	114	0	3	0	3	3192	2100	2935	2842	116	88	65	38	24	62	68	98	18	49	125	77
Mir133a-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir1a-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6307	1	0	1	1	3	3	22	2	0	0	1	6	17	94	2	0	1	12	11	402	626	266	276
B230312C02Rik	0	0	1	15	1	0	1	0	0	3	0	36	48	70	0	0	0	44	51	642	993	344	252
Mrgbp	71	42	49	13	9	7	13	1	26	2	11	29	28	32	13	3	14	214	215	302	430	358	280
Ogfr	69	107	202	24	23	17	24	79	10	40	56	39	74	86	25	26	37	144	152	277	458	440	256
Ntsr1	0	1	0	11	2	4	8	1	1	5	1	172	174	110	137	75	158	231	277	11	21	67	31
Gid8	232	315	278	61	90	58	108	161	162	135	319	289	173	150	62	44	79	229	242	484	799	971	639
Tcfl5	1	0	0	4	6	1	0	7	18	49	115	14	0	4	2	1	3	13	30	1	2	7	2
Dido1	2352	3747	2859	591	827	706	957	2223	1478	1165	1446	1456	2106	1820	455	413	669	3310	4019	4001	6134	7356	5160
Slc17a9	63	20	71	6	3	5	9	0	3	0	1	29	15	13	4	4	2	29	32	55	54	92	40
Bhlhe23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arfgap1	631	728	959	195	259	158	302	595	158	136	287	407	711	512	119	96	134	1857	1919	2319	2856	4411	2452
Nkain4	22	5	22	112	188	146	229	1705	703	829	870	73	32	106	31	18	57	216	220	309	422	268	207
Birc7	0	0	0	0	2	1	2	5	6	0	2	4	4	1	3	0	0	8	6	18	15	18	3
Mir124a-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ythdf1	751	740	1081	162	257	163	223	566	590	305	496	361	532	516	149	137	211	790	951	1061	1459	2097	1288
Kcnq2	3743	4933	3887	675	1024	670	1099	236	52	79	135	5216	5199	6375	2119	1598	2786	11799	13522	10181	16367	16085	10732
Chrna4	2	16	0	0	3	3	1	6	17	0	38	445	713	754	247	252	458	706	834	332	763	4606	2621
Eef1a2	830	1668	1199	184	237	280	262	54	48	17	60	466	516	462	145	132	245	2056	2539	3673	5502	3580	2235
Ppdpf	13	7	15	1	4	3	4	8	5	0	14	1	10	0	2	0	1	31	25	42	69	96	59
Helz2	7	20	25	3	4	8	9	0	0	0	0	20	10	34	2	2	5	127	92	27	28	83	48
Srms	0	0	0	1	0	1	1	2	1	0	0	1	10	1	0	0	0	2	2	0	0	0	0
Ptk6	2	0	0	1	2	0	0	1	0	0	0	0	0	0	1	2	0	2	0	2	6	2	5
BC051628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	2
Arfrp1	202	558	404	53	109	51	110	111	184	159	101	168	206	143	43	39	42	527	600	1000	1393	2057	1318
Rtel1	336	563	371	1049	1557	1129	1872	157	72	69	291	204	311	152	54	40	79	627	704	1288	1890	1999	1141
Stmn3	915	1338	1327	491	690	383	890	328	56	61	97	1231	1315	1424	211	159	321	1840	2227	4153	6833	5066	3251
Zgpat	539	733	600	134	244	187	210	158	301	115	234	414	638	371	124	94	129	798	870	976	1338	1951	1130
Lime1	339	495	522	71	92	63	145	124	49	109	128	180	336	230	57	41	57	1075	1070	1994	2688	3686	2546
Slc2a4rg-ps	480	759	568	41	98	61	92	124	44	39	125	300	263	299	28	38	71	451	398	748	900	1629	1086
Tpd52l2	799	937	655	252	282	250	421	1170	883	522	583	749	881	1130	233	186	242	876	1049	1419	2041	2506	1664
Abhd16b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	4	2	0	0
Uckl1	154	351	165	70	71	75	104	216	127	218	165	221	358	282	76	50	81	711	915	1864	2412	2798	1605
Zfp512b	257	466	302	38	95	81	106	124	91	138	147	233	403	282	47	33	75	1340	1721	1925	2392	3818	1962
Prpf6	1824	2631	1826	985	1559	1343	1599	2688	1852	3345	2094	2709	2796	2834	717	606	1066	1219	1601	2539	3303	5096	3051
Samd10	208	398	185	17	53	8	28	0	2	10	12	40	109	58	19	6	12	248	284	496	786	968	631
Uckl1os	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2
Mir7006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oprl1	7	27	109	15	34	19	25	0	4	0	0	416	372	727	89	96	156	608	691	478	794	146	107
Rgs19	26	77	58	4	10	6	9	0	12	17	0	61	82	72	16	16	22	256	303	331	469	598	323
Lkaaear1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	6	16	7	5
Tcea2	165	132	155	23	45	15	39	8	22	8	52	178	282	279	51	33	71	1244	1391	2273	2942	2910	1729
Sox18	7	0	0	0	0	0	0	0	4	4	0	0	4	0	0	0	1	4	0	4	3	10	2
Pcmtd2	3206	4580	2840	1323	1647	1354	1968	5050	2138	3212	2470	2810	2832	3509	1046	963	1555	1710	2252	2223	3077	5062	3675
Polr3k	125	238	260	377	593	447	610	30	153	150	48	256	262	215	49	49	99	172	192	247	303	514	327
Gm14496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rsrc1	3503	4743	2817	3431	5738	4589	4988	10402	3742	5147	4353	8076	8316	10187	2605	2380	3469	2380	2607	3039	3652	6581	4867
4930593A02Rik	76	173	137	84	120	88	105	20	10	2	23	262	278	271	133	92	109	219	255	147	233	380	292
Man1a2	3232	4193	3322	5114	8009	5175	6909	1638	669	2012	1094	8052	8676	11226	2066	1856	2573	7799	8671	7419	10186	8952	6551
Gbp2b	0	0	0	0	0	1	0	0	0	1	2	1	2	2	0	0	1	0	0	0	1	2	0
Zfhx4	1656	1231	939	9	73	17	34	764	518	959	607	1055	939	698	87	119	90	1322	1587	27	115	430	225
Ralyl	86686	91738	56059	6709	9043	7970	9293	540	542	1147	448	110432	72380	121245	16958	16088	24549	26127	26662	5486	8674	7951	5026
Zfp704	3327	4881	2190	426	810	735	733	1019	716	920	440	2926	2953	3300	1035	811	1330	3859	4729	7503	10139	8388	6578
4930539N22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Egfem1	155	140	52	7751	8723	8685	10114	52	344	85	76	40031	22399	38933	5083	4243	7410	15392	15161	1429	2507	94218	71919
Mecom	13	9	5	21	38	20	35	23	34	57	44	46	130	45	10	14	21	24	40	17	28	57	44
Nlgn1	30862	29374	19961	9237	13128	12096	12075	78531	36625	46875	35540	194308	153064	264249	31512	28526	43531	84620	82534	37167	38967	117560	90395
Tnik	20703	24110	16712	11860	16744	13776	15550	34540	15695	18958	15686	24631	23755	36301	8336	7186	11817	26876	29597	19957	24545	68293	49529
Abhd18	1358	2204	1136	601	840	701	772	464	329	630	870	1871	1429	2293	711	679	1164	864	1119	1602	2261	3385	2277
Gm6639	1	6	2	5	9	7	14	4	4	4	5	3	3	19	8	2	4	2	3	7	7	5	9
Sox2ot	7	3	11	22	25	14	25	1562	1097	1457	1302	206	520	427	24	19	42	90	137	2744	3333	19479	13503
Ankub1	0	2	1	1	4	6	1	10	15	6	14	18	4	5	4	5	2	9	9	0	4	12	6
Proser1	451	772	608	114	284	202	254	271	252	99	222	260	249	613	115	76	147	750	1002	1226	2057	2104	1128
Slc33a1	635	1388	718	642	1213	717	941	1061	2335	1558	2766	1162	1550	1627	599	563	776	708	813	1053	1908	1765	1353
Veph1	7	6	6	18	28	35	39	18	41	19	8	22	20	27	10	5	8	5	4	11	12	34	12
Schip1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm21949	2	3	0	7	19	11	10	3	0	1	1	297	250	312	34	43	42	1498	1710	154	191	1578	1468
Gm20754	50	68	65	29	57	81	73	33	124	22	61	13569	13306	21777	1478	1351	2070	3236	3643	614	665	20852	19667
4930509J09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gria2	13114	16331	11151	28669	42468	30584	43667	5611	4049	6167	4893	54371	62925	74322	17717	17570	26175	34947	44546	28107	41090	75131	55827
Rxfp1	0	8	0	0	5	0	5	2	0	1	8	1906	1199	1531	168	184	302	1044	1447	80	138	6673	4715
Fstl5	8754	7726	5811	407	346	331	345	62	272	209	188	12769	9923	12231	923	991	1406	1017	1123	1812	2726	29688	19011
Rbm46	3	0	0	19	22	13	9	125	58	245	297	12	2	1	2	1	1	3	3	5	11	95	70
Fbxw7	5537	7401	5550	3092	4761	3439	4510	3150	1102	1577	1858	8846	10947	13730	3018	2706	4031	7367	7917	5038	7588	11560	7783
Nup210l	176	145	169	109	158	120	146	104	82	85	133	138	180	343	71	67	94	156	197	244	294	546	317
Hrnr	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	1	1	0	0	1	0
Tmigd3	15	6	4	5	16	2	8	3	1	3	3	45	30	16	10	2	6	5	11	11	8	38	20
