Gene	1406_xk_granule	1417_pk_granule	1422_xk_basket	1433_pk_basket	1867_xk_astrocyte	1986_pk_astrocyte	1864_xk_oligo	1983_pk_oligo	1866_xk_opc	1984_pk_opc
LOC101927701	39	35	3	0	1	1	2	0	1	4
C1D	240	246	278	142	145	145	65	189	117	108
PPP3R1	2260	2910	1618	1401	993	1119	868	672	412	795
PNO1	115	147	140	144	22	50	75	76	219	62
PLEK	15	38	2	15	183	26	14	6	2	5
FBXO48	6	8	22	7	0	61	0	6	1	1
PROKR1	0	0	0	0	1	7	0	1	0	2
BMP10	0	1	1	0	0	0	0	0	0	0
GKN2	0	0	1	1	0	1	0	3	0	1
GKN1	1	3	0	1	1	0	0	0	1	0
MIR3126	0	0	0	0	0	0	0	0	0	0
NFU1	283	348	298	280	54	218	437	295	31	182
SNORA36C	0	0	0	0	0	0	0	0	0	0
ANXA4	58	121	210	274	953	1883	878	885	10	230
SNRNP27	205	254	130	164	107	61	78	171	126	130
MXD1	895	1399	533	736	132	979	198	1025	162	840
ASPRV1	8	5	18	8	2	3	1	46	1	6
PCBP1	63	87	77	90	97	55	169	202	81	20
TIA1	2069	2619	2277	1548	819	1333	782	1619	1527	1663
C2orf42	163	205	180	129	52	236	128	179	107	100
LOC100133985	10	12	16	5	0	22	3	7	7	9
MIR1285-2	0	0	0	0	0	0	0	0	0	0
SNRPG	199	180	233	131	66	142	141	123	43	90
FAM136A	75	67	68	41	75	83	56	34	163	9
PCYOX1	277	315	432	303	66	180	489	200	69	231
TGFA-IT1	0	0	0	0	0	0	0	0	0	0
ADD2	5995	5953	5206	3397	263	270	405	690	546	1337
CD207	0	1	0	0	0	0	0	0	0	0
CLEC4F	11	4	1	0	21	5	14	2	5	4
LINC01143	8	8	0	0	0	0	1	0	1	0
ATP6V1B1-AS1	0	0	0	0	0	0	0	0	0	0
TEX261	133	114	282	131	54	413	57	261	53	251
ANKRD53	67	77	95	68	6	137	2	99	3	229
OR7E91P	0	0	0	0	0	0	0	0	0	0
ATP6V1B1	100	102	15	69	7	95	17	49	0	39
MPHOSPH10	302	290	299	271	131	175	158	306	91	132
MCEE	238	263	266	248	108	303	199	238	83	214
NAGK	287	208	561	308	277	699	180	554	308	605
PAIP2B	563	735	220	428	83	192	312	394	5	15
CYP26B1	477	282	26	26	46	209	52	100	5	87
EMX1	29	31	42	27	34	283	2	29	0	2
SPR	0	1	0	3	3	14	16	0	0	0
RAB11FIP5	242	150	444	369	51	104	1	116	5	100
CCT7	235	215	179	104	76	130	92	167	7	110
NOTO	1	2	0	1	0	0	0	1	0	0
PRADC1	23	20	40	9	1	27	0	10	0	0
SMYD5	177	164	256	196	42	155	102	95	34	184
EGR4	17	9	0	0	2	0	0	1	1	0
ALMS1-IT1	0	0	0	0	0	0	0	0	0	0
NAT8	10	6	17	4	0	32	0	3	0	3
NAT8B	0	1	1	0	0	4	0	0	0	0
DUSP11	261	380	288	216	175	311	125	407	95	59
TPRKB	155	166	148	119	89	80	28	137	17	39
STAMBP	435	486	478	331	259	567	332	1039	173	493
ACTG2	2	1	3	6	0	0	3	2	1	2
DGUOK	394	326	396	275	238	606	258	498	74	488
DGUOK-AS1	6	15	3	7	7	20	8	2	6	24
BOLA3-AS1	104	146	211	149	19	37	251	89	9	47
MOB1A	604	715	672	590	220	552	154	283	131	224
BOLA3	176	131	434	235	41	102	54	68	35	7
MTHFD2	84	50	203	118	105	69	24	107	5	78
DCTN1	551	331	911	743	211	685	476	1550	138	240
RTKN	61	39	10	9	116	200	517	1024	345	717
C2orf81	24	13	40	47	0	8	41	51	0	63
WDR54	52	53	39	26	21	64	69	293	26	123
DCTN1-AS1	8	9	74	44	10	0	401	55	0	21
CCDC142	109	75	153	100	30	87	16	55	19	351
DOK1	0	2	0	0	21	4	1	0	0	0
MOGS	38	20	89	32	54	21	4	46	4	276
MRPL53	9	11	11	6	7	0	0	2	37	0
TTC31	103	74	71	73	36	546	230	296	96	187
LOXL3	24	34	8	17	227	420	20	341	168	536
TLX2	0	0	0	0	0	0	0	0	0	0
INO80B	0	0	0	0	0	0	0	0	0	0
PCGF1	24	8	34	9	44	30	2	82	0	186
WBP1	0	0	0	0	0	0	0	0	0	0
LBX2	6	4	5	1	1	131	1	15	17	1
HTRA2	7	4	17	4	9	34	25	7	4	180
DQX1	4	9	4	6	0	6	0	6	1	0
AUP1	100	85	177	81	80	202	56	202	25	112
INO80B-WBP1	2	1	0	0	0	9	0	0	0	0
LBX2-AS1	2	0	0	0	0	9	1	0	0	0
SEMA4F	580	552	235	221	58	64	10	119	66	29
POLE4	59	101	41	44	20	25	219	53	570	12
LINC01291	113	229	57	108	26	334	49	513	16	257
MIR5000	0	0	0	0	0	0	0	0	0	0
LOC101927884	0	0	0	0	0	0	0	0	0	0
MRPL19	470	668	760	435	128	182	299	349	58	496
GCFC2	1211	1799	1955	1713	606	1223	779	1445	1163	1276
LOC101927907	0	0	0	0	0	0	0	0	0	0
LOC101927926	0	0	0	0	0	0	0	0	0	0
SNAR-H	0	0	0	0	0	0	0	0	0	0
REG3G	0	0	0	0	0	0	0	0	0	0
REG1B	0	0	0	0	0	0	0	0	0	0
REG1CP	0	0	0	0	0	0	0	0	0	0
REG1A	0	0	0	0	0	0	1	0	0	0
REG3A	0	0	0	0	0	0	0	0	0	0
LOC101927987	2	1	0	0	1	0	0	49	0	1
MIR4264	0	0	0	0	0	0	0	0	0	0
MIR8080	0	0	0	0	0	0	0	0	0	0
LRRTM1	0	0	0	0	0	0	0	0	0	0
LOC100507201	0	0	0	0	0	0	0	0	0	0
LOC1720	0	0	0	0	0	0	0	0	0	0
FUNDC2P2	0	0	0	0	0	0	0	0	0	0
SUCLG1	900	949	1091	739	208	605	459	901	445	804
TRABD2A	10	113	3	9	38	20	0	5	4	1
TMSB10	4	8	0	2	22	1	0	12	0	1
KCMF1	1572	1659	1428	1149	714	1318	883	1168	1058	1461
ELMOD3	246	217	304	184	185	612	455	456	185	141
CAPG	1	1	4	1	19	33	3	0	4	2
RETSAT	36	41	178	42	112	108	60	80	8	144
SH2D6	5	5	3	2	1	12	8	14	1	2
MAT2A	711	727	1136	881	234	1083	318	1231	224	814
GGCX	456	446	383	252	168	458	51	445	39	399
VAMP8	0	0	0	0	6	51	0	0	0	0
PARTICL	10	3	2	5	2	2	1	3	2	0
GNLY	0	0	1	3	34	0	0	0	0	0
USP39	168	168	234	179	110	169	49	159	297	192
SFTPB	5	3	8	9	5	2	2	6	2	2
TMEM150A	18	14	41	27	13	22	133	24	1	2
RNF181	10	7	43	6	7	1	1	17	78	4
C2orf68	0	0	0	0	0	0	0	0	0	0
ATOH8	0	1	4	3	49	80	221	282	120	731
MIR6071	0	0	0	0	0	0	0	0	0	0
LOC284950	2	4	1	2	0	12	6	62	10	37
ST3GAL5-AS1	1	1	14	6	6	122	42	496	21	82
LOC90784	39	53	132	67	64	74	3	59	0	9
POLR1A	557	433	933	639	165	734	351	851	68	528
MRPL35	280	294	296	270	41	123	7	88	37	34
IMMT	918	1129	1342	876	428	769	247	865	235	976
SNORD94	0	0	0	0	0	0	0	0	0	0
MIR4779	0	0	0	0	0	0	0	0	0	0
KDM3A	877	1288	516	487	775	2247	333	1025	437	776
RNF103	0	0	0	0	0	0	0	0	0	0
CD8B	92	158	125	77	0	1	8	2	1	5
ANAPC1P1	11	8	11	10	5	6	9	5	0	3
CD8A	92	106	104	83	8	7	4	12	6	5
PLGLB1	0	0	0	0	0	0	0	0	0	0
PLGLB2	0	0	1	0	0	0	0	0	0	0
MIR4771-2	0	0	0	0	0	0	0	0	0	0
MIR4771-1	0	0	0	0	0	0	0	0	0	0
LINC00152	9	4	16	11	10	2	17	2	2	5
MIR4435-2	0	0	0	0	0	0	0	0	0	0
MIR4435-1	0	0	0	0	0	0	0	0	0	0
KRCC1	344	485	348	308	310	863	199	676	243	816
FABP1	0	0	0	0	0	1	1	0	2	1
THNSL2	10	2	94	46	57	201	242	202	86	130
MIR4780	0	0	0	0	0	0	0	0	0	0
FOXI3	0	0	0	1	0	0	1	0	0	0
LOC101928371	7	8	6	5	1	1	0	0	0	1
TEX37	0	0	1	0	0	0	0	0	0	0
MIR4436A	0	0	0	0	0	0	0	0	0	1
ANKRD36BP2	12	44	16	19	6	8	21	162	193	581
LOC654342	38	27	65	103	11	101	75	96	26	115
GGT8P	0	3	0	0	0	0	1	0	0	1
ACTR3BP2	0	0	0	0	0	0	0	0	0	0
LOC100133920	20	30	86	59	2	56	16	16	8	3
FAM95A	0	0	0	1	3	4	9	0	3	0
TEKT4	0	0	0	0	0	0	0	0	0	0
MRPS5	1081	840	907	563	551	504	2141	736	192	428
ZNF2	85	71	119	82	40	84	111	62	100	57
KCNIP3	191	120	77	48	42	192	105	1478	1490	3330
FAHD2A	379	319	517	384	108	150	67	135	25	205
TRIM43B	0	1	0	0	0	0	3	0	0	0
TRIM43	1	2	0	0	0	0	0	0	0	0
FAHD2CP	139	98	283	230	58	192	355	375	18	91
GPAT2	7	12	25	16	7	11	5	61	0	3
DUSP2	1	0	0	0	0	0	0	4	0	0
ADRA2B	0	0	0	1	1	0	4	2	2	0
ASTL	7	3	3	2	0	0	4	0	3	0
CIAO1	149	166	290	247	96	131	298	115	136	37
SNRNP200	600	489	646	436	312	815	184	814	534	659
ITPRIPL1	8	7	0	1	0	2	2	10	1	0
TMEM127	185	100	490	300	40	212	114	272	14	186
STARD7-AS1	178	153	398	171	61	253	66	435	86	87
NEURL3	2	3	0	0	0	9	1	1	1	0
ARID5A	7	5	0	8	28	146	14	36	2	16
FER1L5	108	123	192	172	70	274	27	34	27	301
MIR3127	0	0	0	0	0	0	0	0	0	0
CNNM3	607	543	417	298	154	774	422	820	236	245
CNNM4	592	1029	680	510	306	809	698	919	284	431
ANKRD39	385	376	373	228	145	179	1469	293	205	160
ANKRD23	77	45	69	48	17	171	34	68	22	12
FAM178B	90	73	14	45	15	69	129	442	23	7
LOC101927053	0	0	0	0	0	0	0	0	0	0
FAHD2B	137	101	267	130	6	84	40	87	2	2
LOC100506076	116	291	99	139	44	44	154	89	53	39
LOC100506123	0	0	0	0	0	0	0	0	0	0
COX5B	16	21	70	36	3	50	0	32	1	19
ZAP70	5	8	9	8	1	3	3	3	2	3
ACTR1B	177	136	196	126	31	133	145	115	3	60
LINC01125	162	220	215	231	70	370	264	358	100	108
CNGA3	1	5	46	12	2	11	1	1	2	1
UNC50	335	384	459	327	221	428	142	384	262	433
COA5	245	280	224	215	71	272	54	304	62	106
LOC101927070	10	13	1	3	4	4	0	11	0	0
C2orf15	0	0	0	0	0	0	0	0	0	0
LIPT1	93	107	204	69	19	96	9	152	292	110
MRPL30	353	425	401	367	80	338	29	355	264	311
MITD1	191	225	256	166	199	222	178	220	324	196
TXNDC9	178	228	179	213	36	77	79	146	26	151
LYG1	383	656	374	363	72	255	149	192	464	137
LYG2	452	668	393	443	63	359	1	261	17	266
LINC01104	4	0	39	9	1	11	1	0	1	0
LONRF2	3365	3457	2063	2445	331	1180	298	1394	139	962
NMS	0	1	0	0	0	0	0	0	0	0
PDCL3	26	37	29	30	19	25	50	55	7	19
RPL31	146	164	134	89	74	243	11	334	25	101
LOC101927142	0	0	0	0	0	0	0	0	0	0
CNOT11	463	464	389	395	255	582	713	612	781	419
MIR5696	0	0	0	0	0	0	0	0	0	0
SNORD89	10	6	2	1	2	10	2	6	1	0
RNF149	483	621	624	497	318	758	728	484	420	547
CREG2	1	4	1	2	2	2	3	105	1	346
IL1R2	1	3	1	0	6	1	10	4	4	7
LINC01127	0	0	0	0	0	1	1	0	0	0
IL1RL1	1	3	4	5	5	2	5	3	4	1
IL18RAP	1	1	0	0	1	2	2	0	1	6
MIR4772	0	0	0	0	0	0	0	0	0	0
MFSD9	264	210	59	21	9	8	9	26	15	1
TMEM182	149	110	11	6	3	21	4	42	42	25
LOC100287010	4	7	8	10	24	23	20	33	16	120
LINC01103	0	0	0	0	0	0	0	0	0	0
LINC01114	2	13	0	7	61	626	4	52	42	29
LINC01158	390	857	230	163	919	2816	762	1282	1579	1366
LINC01159	89	131	23	22	95	423	142	289	22	227
MRPS9	652	835	835	589	204	432	382	577	196	318
UTAT33	6	11	10	8	0	11	0	24	0	3
GPR45	1	1	0	0	1	0	0	6	9	29
TGFBRAP1	604	608	866	659	147	491	828	495	559	408
C2orf49	177	178	191	165	81	61	96	102	58	37
LOC285000	16	13	31	6	3	2	0	1	1	1
C2orf40	8	10	53	23	23	138	2	0	5	4
PLGLA	0	10	1	4	0	2	0	5	0	0
GACAT1	1	3	4	4	6	3	6	2	7	6
RGPD4-AS1	0	0	1	0	0	0	1	0	0	0
LINC01593	0	1	0	0	0	1	0	0	0	0
LINC01594	6	11	14	11	15	8	16	7	11	15
SULT1C3	1	0	1	1	4	4	0	0	0	0
SULT1C4	2	2	24	28	92	191	0	90	7	137
SULT1C2	0	1	18	29	0	54	13	25	0	3
SULT1C2P1	6	9	39	57	19	113	1	4	4	22
GCC2	415	632	1072	1112	681	626	707	937	578	599
RANBP2	1390	1600	1602	1320	520	852	928	1058	391	480
MIR4265	0	0	0	0	0	0	0	0	0	0
SH3RF3-AS1	0	0	0	0	0	0	0	0	23	0
MIR4266	0	0	0	0	0	0	0	0	0	0
SOWAHC	0	0	4	1	0	10	77	22	0	7
LIMS4	0	0	0	0	0	0	0	0	0	0
LIMS3	0	0	0	0	0	0	0	0	0	0
LIMS3-LOC440895	0	0	2	2	1	0	2	3	2	1
LOC440895	0	0	0	0	0	0	0	0	0	0
LOC100288570	0	0	0	0	0	0	0	0	0	0
MIR4436B2	0	0	0	0	0	0	0	0	0	0
MIR4436B1	0	0	0	0	0	0	0	0	0	0
MIR4267	0	0	0	0	0	0	0	0	0	0
LINC01123	2	3	32	48	1	0	0	5	0	0
NPHP1	55	49	582	484	238	726	131	292	158	773
LINC00116	2	1	13	3	0	1	2	9	1	0
LOC100507334	1	3	2	0	6	0	3	3	1	5
LINC01106	1	0	18	14	1	0	0	0	0	0
BUB1	4	7	2	11	3	3	1	7	1	16
SNORD132	0	0	0	0	0	0	0	0	0	0
LOC400997	0	0	0	0	0	0	0	0	0	0
FBLN7	457	290	751	625	26	33	4	155	86	336
ZC3H8	924	1222	1849	1409	208	418	440	743	577	785
TTL	641	660	1033	660	574	708	1998	1583	1545	1927
POLR1B	160	166	214	200	49	70	149	178	20	264
CHCHD5	31	29	72	48	3	143	7	94	1	53
SLC20A1	406	377	901	795	141	137	70	257	212	157
FLJ42351	4	5	1	11	4	25	122	21	0	0
IL1A	3	4	3	0	4	6	0	1	1	1
IL1B	0	0	0	5	19	10	0	0	0	0
CKAP2L	5	4	5	2	0	5	3	1	1	2
IL37	0	0	0	1	0	0	0	0	0	0
IL36RN	0	1	0	0	0	0	0	0	1	0
IL1F10	0	0	1	0	1	0	1	0	0	0
IL36A	0	0	0	0	0	0	0	0	0	1
IL36B	2	4	1	2	1	2	1	4	1	5
PSD4	1	1	4	2	125	6	1	3	7	41
IL1RN	3	0	1	1	3	2	0	0	4	1
CBWD2	499	528	719	506	257	271	172	310	167	297
FOXD4L1	1	1	1	1	0	0	0	2	0	0
RPL23AP7	45	38	45	35	28	45	126	48	15	24
DDX11L2	2	6	9	5	8	32	1	15	0	0
MIR1302-3	0	0	7	1	0	4	0	0	0	0
PGM5P3-AS1	3	3	1	0	4	2	1	0	1	0
PGM5P4-AS1	0	0	0	0	0	0	0	0	0	0
FAM138B	0	0	0	0	18	0	0	2	0	0
WASH2P	104	72	152	150	75	238	33	144	107	291
MIR4782	0	0	0	0	0	0	0	0	0	0
SLC35F5	1004	1462	1282	1014	338	966	654	941	917	1195
LOC101060091	83	99	143	191	134	644	130	269	70	267
LOC100499194	1	0	1	1	0	1	0	0	0	0
LINC01191	14	0	1	14	39	1	20	2	4	20
DPP10-AS3	0	0	0	0	0	0	0	0	0	0
DPP10-AS1	0	0	0	0	0	0	0	0	0	0
DDX18	569	660	516	460	187	436	230	691	122	456
LOC101927709	0	0	0	0	0	0	0	0	0	0
EN1	0	0	0	0	5	2	63	1	3	69
MARCO	3	5	1	5	86	7	10	1	7	6
STEAP3	314	250	39	52	117	350	1	30	6	13
C1QL2	0	0	0	0	0	0	0	75	98	82
STEAP3-AS1	0	0	0	0	0	0	0	0	0	0
C2orf76	197	193	355	225	234	612	314	354	43	191
DBI	9	9	14	20	134	101	15	70	13	81
TMEM37	0	0	0	0	0	1	0	15	0	0
SCTR	4	5	105	64	9	67	15	78	2	5
CFAP221	44	19	1985	2019	196	652	46	80	8	19
TMEM177	24	14	62	29	6	8	0	8	1	28
RALB	111	91	670	254	515	372	173	207	88	352
TMEM185B	33	22	40	37	46	184	10	156	8	94
INHBB	0	0	2	0	2	16	4	6	1	1
LINC01101	0	0	0	0	0	0	0	0	0	0
RNU4ATAC	0	0	0	0	0	0	0	0	0	0
NIFK	62	30	60	39	12	70	64	40	37	47
NIFK-AS1	363	573	423	449	198	849	121	519	230	245
GYPC	0	1	0	6	215	32	57	176	39	518
BIN1	293	143	469	297	195	57	1435	1663	45	200
CYP27C1	1	3	0	2	16	5	3	13	8	41
MAP3K2	1005	1515	918	691	390	830	516	792	218	1176
MIR4783	0	0	0	0	0	0	0	0	0	0
PROC	21	13	42	37	6	138	3	55	22	9
IWS1	911	928	944	827	594	1198	843	2343	307	615
GPR17	0	0	0	0	0	0	0	0	0	0
MYO7B	3	10	6	7	6	4	6	182	39	230
LOC105373609	0	0	0	0	0	0	0	0	0	0
SFT2D3	25	28	26	26	27	62	8	21	0	1
AMMECR1L	119	117	158	133	177	290	253	195	68	108
POLR2D	94	93	72	80	24	34	50	51	30	102
SAP130	1019	1200	1127	987	473	1749	591	1638	393	1600
HS6ST1	511	498	1284	502	144	208	205	225	77	128
LOC101927881	0	0	3	0	1	0	0	0	0	0
LOC151121	0	0	1	1	3	1	0	0	0	0
RAB6C-AS1	1	1	81	46	2	9	60	253	3	73
LOC101927924	1	2	1	0	2	0	3	2	0	1
RAB6C	1	8	14	41	3	1	47	51	20	13
LOC389033	0	0	0	0	0	0	0	1	0	0
CCDC74B	0	0	2	0	1	8	0	1	2	0
MED15P9	0	1	0	0	1	0	0	0	1	0
POTEF	0	2	1	1	2	2	2	1	1	0
FAR2P1	0	0	1	0	0	1	0	2	1	3
MZT2B	70	53	72	76	30	172	21	63	98	71
TUBA3E	7	7	6	14	0	14	0	16	0	28
PTPN18	1110	1604	1036	772	607	486	90	329	98	294
CCDC115	27	49	95	54	149	58	32	38	81	48
IMP4	61	65	125	106	18	62	30	73	17	12
CFC1B	0	0	2	4	0	0	0	0	0	0
FAR2P2	3	0	0	2	3	31	0	98	36	74
POTEI	0	1	1	2	0	0	0	2	0	0
CYP4F62P	0	0	0	0	0	2	2	0	0	0
CFC1	0	0	1	0	0	0	0	0	0	0
POTEJ	1	1	1	2	0	1	0	0	0	2
AMER3	633	569	366	226	11	61	3	39	28	2
CYP4F30P	0	0	0	0	2	0	0	0	0	0
GPR148	0	3	1	1	0	0	0	0	0	0
PLEKHB2	272	302	780	533	182	373	281	304	12	172
POTEE	0	1	0	3	0	2	0	0	1	0
LOC440910	0	1	1	0	2	0	1	0	2	1
WTH3DI	1	7	23	18	0	0	2	3	8	3
LINC01120	0	0	1	0	0	0	0	0	0	0
NOC2LP2	0	0	1	0	1	1	0	0	0	0
CCDC74A	0	0	6	2	0	1	1	11	2	1
MZT2A	60	42	115	90	41	113	21	42	2	8
TUBA3D	51	36	107	67	12	76	0	109	16	42
MIR4784	0	0	0	0	0	0	0	0	0	0
LOC150776	206	156	490	254	164	404	455	293	88	145
LINC01087	0	0	2	3	0	0	1	0	0	0
POTEKP	0	0	0	0	0	0	1	0	0	0
C2orf27B	0	0	0	2	0	0	0	5	45	1
ZNF806	0	1	11	3	0	7	1	7	0	1
MIR663B	0	0	0	0	0	0	0	0	0	0
FAM201B	2	3	7	0	0	1	0	4	0	4
LOC101928161	0	0	0	0	0	0	0	0	0	0
MIR3679	34	17	52	14	14	12	0	39	0	9
MIR5590	0	0	0	0	0	0	0	0	0	0
CCNT2	1100	1427	1393	956	467	750	615	1292	310	1275
UBXN4	1211	1511	1190	1164	546	1405	1060	1374	509	1987
MIR128-1	0	0	0	0	0	0	0	0	0	0
MCM6	210	284	22	46	29	38	17	93	1	128
LOC100507600	0	0	0	0	0	0	0	0	0	0
DARS-AS1	19	10	22	25	8	106	4	20	65	9
CXCR4	0	1	0	1	72	84	0	30	0	0
HNMT	0	1	507	405	741	2515	121	595	130	1227
YY1P2	0	0	0	0	0	0	0	0	0	0
MIR7157	0	0	0	0	0	0	0	0	0	0
LOC101928386	74	108	128	95	11	100	152	96	828	40
ZEB2-AS1	0	0	0	1	8	3	3	3	2	2
PABPC1P2	0	0	0	0	0	0	0	0	0	0
MMADHC	363	481	387	300	89	156	42	205	42	269
LOC101929260	1	1	0	1	1	2	0	2	0	0
LOC101929282	1	0	0	0	0	1	0	0	0	1
MIR4773-2	0	0	0	0	0	0	0	0	0	0
MIR4773-1	0	0	0	0	0	0	0	0	0	0
LOC101929319	0	0	0	2	1	24	2	3	2	4
TNFAIP6	0	0	0	0	0	0	5	4	0	2
NMI	0	2	1	1	44	16	43	35	59	73
RIF1	1225	1902	1107	882	418	638	976	1040	883	620
ARL5A	537	782	355	243	213	242	109	237	93	272
ARL6IP6	574	968	663	524	288	499	233	499	209	295
RPRM	1	0	21	3	9	0	0	0	0	30
LOC100144595	146	204	60	72	7	24	1	40	4	65
NR4A2	291	228	6	15	62	20	7	55	482	2
ERMN	8	19	2	7	0	1	1134	979	1	138
FAM133DP	0	3	1	0	6	4	10	5	1	3
DAPL1	0	3	0	2	0	0	0	7	16	15
MIR6888	0	0	0	0	0	0	0	0	0	0
LOC643072	19	34	63	37	0	24	0	17	22	20
MARCH7	2758	3327	1699	1507	914	1249	486	1257	662	1441
LY75	0	0	0	0	0	0	0	0	0	0
LOC100505984	4	2	110	106	5	54	0	41	7	73
MIR4785	0	0	0	0	0	0	0	0	0	0
LOC101929512	11	22	11	22	2	14	3	16	0	0
LOC100996579	0	0	0	0	0	0	0	0	0	0
TBR1	0	0	1	1	0	3	2	3	0	0
AHCTF1P1	21	18	11	16	6	7	0	9	1	0
GCG	0	0	0	0	0	0	0	0	0	0
FAP	0	4	1	1	33	14	14	25	1	3
GCA	433	482	391	268	80	56	710	434	1	36
SNORA70F	0	0	0	0	0	0	0	0	0	0
LOC101929633	0	0	3	0	0	0	0	0	1	0
SLC38A11	0	2	34	21	5	21	4	3	2	1
GALNT3	107	246	68	57	7	83	12	198	26	543
LOC100506124	445	673	243	453	32	316	199	493	258	384
LOC102724058	26	28	210	191	7	2	5	125	12	250
XIRP2-AS1	0	0	0	0	0	0	0	0	0	0
B3GALT1	0	0	0	0	0	0	0	0	0	0
MIR4774	0	0	0	0	0	0	0	0	0	0
CERS6-AS1	45	82	23	16	1	7	0	16	47	119
G6PC2	1	0	0	1	0	5	0	22	276	11
SPC25	3	0	1	4	1	1	1	27	2	71
FASTKD1	607	721	853	714	252	173	225	296	426	313
BBS5	233	233	350	341	89	242	51	81	93	284
KLHL41	201	352	232	414	39	173	10	52	449	60
CCDC173	51	76	144	122	95	284	2	34	4	11
PHOSPHO2	0	0	0	0	0	0	0	0	0	0
SSB	190	274	188	186	120	121	125	132	18	42
METTL5	114	177	154	129	34	102	449	85	45	43
LOC101929753	0	0	0	0	0	0	0	0	0	0
LINC01124	0	0	0	0	0	0	0	0	0	0
SP5	0	0	0	0	0	0	0	0	0	0
LOC101926913	24	107	853	820	135	550	35	214	217	298
GAD1	162	251	6182	5217	273	495	171	1333	1184	3222
GORASP2	574	569	656	451	206	558	276	649	95	539
METTL8	481	661	1026	837	414	1125	544	971	1376	508
CYBRD1	3	3	14	13	291	1392	249	649	50	297
DLX1	0	0	0	0	0	0	0	0	0	0
METAP1D	115	127	182	110	56	253	206	377	61	459
DLX2	0	0	0	0	2	0	0	0	1	0
DLX2-AS1	1	0	1	0	0	0	1	0	0	1
RAPGEF4-AS1	142	205	186	148	6	18	4	36	1	72
CDCA7	0	0	0	2	12	103	1	7	0	8
SCRN3	375	502	658	555	153	468	156	529	178	732
SP9	0	0	0	0	1	0	0	0	0	0
CIR1	786	1157	767	708	343	809	729	899	280	853
LINC01305	0	1	0	0	0	0	0	0	0	0
CHRNA1	0	1	1	0	0	4	0	0	0	0
ATP5G3	114	159	187	151	78	118	103	38	12	93
MIR933	0	0	0	0	0	0	0	0	0	0
KIAA1715	1099	1405	1538	1056	383	534	805	641	475	682
HOXD4	0	0	0	0	0	0	0	0	0	0
MIR10B	0	0	0	0	0	0	0	0	0	0
HOXD9	0	0	0	0	0	0	0	0	0	0
HOXD13	0	0	0	0	0	0	0	0	0	0
HOXD8	0	0	0	0	2	0	4	0	1	0
HOXD10	0	0	0	0	0	0	0	0	0	0
HOXD12	0	1	0	0	0	0	1	0	0	0
HOXD11	0	0	0	0	0	0	1	0	0	0
EVX2	0	1	1	0	0	0	1	0	0	0
HOXD-AS2	0	0	0	0	0	0	1	0	0	0
HAGLR	0	0	5	5	1	0	414	536	0	2
HOXD3	0	0	0	0	1	0	1	12	2	0
HOXD1	0	0	0	0	1	0	41	34	0	0
MIR7704	0	0	0	0	0	0	0	0	0	0
HAGLROS	0	0	0	0	0	0	0	0	0	0
MIR1246	0	0	0	0	0	0	0	0	0	0
LINC01117	0	0	4	24	0	1	2	5	1	1
LINC01116	1	0	2	0	0	4	0	0	0	0
MIR3128	0	0	0	0	0	0	0	0	0	0
NFE2L2	660	749	575	395	271	1194	1283	1138	219	578
MIR6512	0	0	0	0	0	0	0	0	0	0
MIR4444-2	0	0	0	0	0	0	0	0	0	0
MIR4444-1	0	0	0	0	0	0	0	0	0	0
HNRNPA3	831	1499	798	885	579	894	821	872	422	504
TTC30B	6	7	14	9	28	10	3	8	0	1
TTC30A	8	12	15	13	26	19	12	16	15	18
PRKRA	388	355	306	234	147	211	77	201	10	287
FKBP7	42	72	84	43	15	107	12	52	4	69
DFNB59	27	34	92	70	52	87	23	46	29	21
LOC101927027	161	170	148	88	65	169	1	128	136	350
PLEKHA3	276	354	291	212	108	139	34	179	58	88
TTN-AS1	15	17	23	15	38	7	5	11	11	78
LOC101927055	0	0	0	0	0	0	0	0	0	0
MIR1258	0	0	0	0	0	0	0	0	0	0
MIR4437	0	0	0	0	0	0	0	0	0	0
CERKL	2535	3986	436	285	25	80	17	77	22	199
NEUROD1	1877	3555	258	629	126	141	208	810	73	83
DNAJC10	692	935	1197	877	452	523	477	686	565	1193
DUSP19	20	17	29	43	5	47	28	51	22	94
NUP35	289	407	204	176	177	245	62	247	266	251
MIR548AE1	0	0	0	0	0	0	0	0	0	0
FSIP2	241	537	1596	1786	384	1233	752	1070	463	1502
LINC01473	125	192	426	431	198	551	125	316	217	177
ZC3H15	591	738	760	771	230	421	266	486	133	185
FAM171B	2387	2708	3162	2865	827	2344	557	1186	1258	2004
ZSWIM2	1	1	27	23	1	47	3	5	4	3
TFPI	10	14	59	107	158	372	136	199	5	96
MIR561	0	0	0	0	0	0	0	0	0	0
MIR1245A	0	0	0	0	0	0	0	0	0	0
MIR3606	0	0	0	0	0	0	0	0	0	0
MIR1245B	0	0	0	0	0	0	0	0	0	0
MIR3129	0	0	0	0	0	0	0	0	0	0
WDR75	563	611	674	414	215	350	231	332	122	448
SLC40A1	0	0	47	33	61	19	0	32	11	83
ANKAR	877	1333	694	713	336	1103	454	645	1361	1147
ORMDL1	360	431	429	324	191	368	74	242	156	287
OSGEPL1-AS1	49	61	50	38	3	26	7	65	0	11
ASNSD1	196	214	213	237	51	76	16	146	3	129
OSGEPL1	292	435	312	329	85	599	215	402	110	571
MSTN	6	6	9	18	1	35	8	5	0	33
